Time_stamp,X,Y,Z
1603462567.0,17,27,53
1603462567.03125,17,27,54
1603462567.0625,17,27,53
1603462567.09375,17,27,53
1603462567.125,17,27,53
1603462567.15625,17,27,53
1603462567.1875,17,27,53
1603462567.21875,17,27,54
1603462567.25,17,27,53
1603462567.28125,17,27,54
1603462567.3125,17,27,53
1603462567.34375,17,27,53
1603462567.375,17,27,53
1603462567.40625,17,27,54
1603462567.4375,18,27,53
1603462567.46875,17,27,54
1603462567.5,17,27,54
1603462567.53125,17,27,53
1603462567.5625,17,27,53
1603462567.59375,17,27,53
1603462567.625,17,27,53
1603462567.65625,17,27,54
1603462567.6875,17,27,53
1603462567.71875,17,27,53
1603462567.75,17,27,54
1603462567.78125,17,27,53
1603462567.8125,17,27,53
1603462567.84375,17,27,53
1603462567.875,17,27,53
1603462567.90625,17,27,54
1603462567.9375,17,27,53
1603462567.96875,17,27,53
1603462568.0,17,27,53
1603462568.03125,17,27,53
1603462568.0625,17,27,54
1603462568.09375,17,27,53
1603462568.125,17,27,53
1603462568.15625,17,27,54
1603462568.1875,17,27,53
1603462568.21875,18,27,53
1603462568.25,17,27,54
1603462568.28125,17,27,54
1603462568.3125,18,27,53
1603462568.34375,17,27,53
1603462568.375,17,27,54
1603462568.40625,17,27,53
1603462568.4375,17,27,53
1603462568.46875,17,27,53
1603462568.5,17,27,53
1603462568.53125,17,27,54
1603462568.5625,17,27,53
1603462568.59375,17,27,54
1603462568.625,17,27,53
1603462568.65625,17,27,54
1603462568.6875,17,27,53
1603462568.71875,17,27,53
1603462568.75,17,27,53
1603462568.78125,17,27,53
1603462568.8125,17,27,53
1603462568.84375,17,27,53
1603462568.875,17,27,53
1603462568.90625,17,27,53
1603462568.9375,17,27,53
1603462568.96875,17,27,53
1603462569.0,17,27,53
1603462569.03125,17,27,54
1603462569.0625,17,27,53
1603462569.09375,17,27,53
1603462569.125,17,27,53
1603462569.15625,17,27,53
1603462569.1875,17,27,54
1603462569.21875,17,27,53
1603462569.25,17,27,53
1603462569.28125,17,27,53
1603462569.3125,17,27,54
1603462569.34375,17,27,53
1603462569.375,17,27,53
1603462569.40625,17,27,54
1603462569.4375,17,27,53
1603462569.46875,18,27,53
1603462569.5,17,27,53
1603462569.53125,17,27,53
1603462569.5625,17,27,53
1603462569.59375,17,27,53
1603462569.625,17,27,53
1603462569.65625,17,27,53
1603462569.6875,17,27,53
1603462569.71875,17,27,53
1603462569.75,17,27,54
1603462569.78125,17,27,53
1603462569.8125,17,27,54
1603462569.84375,17,27,54
1603462569.875,17,27,53
1603462569.90625,17,27,53
1603462569.9375,17,27,53
1603462569.96875,17,27,53
1603462570.0,17,27,53
1603462570.03125,17,27,54
1603462570.0625,17,27,53
1603462570.09375,17,27,53
1603462570.125,17,27,53
1603462570.15625,17,27,53
1603462570.1875,17,27,53
1603462570.21875,17,27,53
1603462570.25,17,27,53
1603462570.28125,17,27,53
1603462570.3125,17,27,53
1603462570.34375,17,27,54
1603462570.375,17,27,53
1603462570.40625,17,27,53
1603462570.4375,17,27,53
1603462570.46875,17,27,54
1603462570.5,17,27,53
1603462570.53125,17,27,53
1603462570.5625,17,27,53
1603462570.59375,17,27,53
1603462570.625,18,27,53
1603462570.65625,17,27,53
1603462570.6875,17,27,53
1603462570.71875,17,27,53
1603462570.75,17,27,53
1603462570.78125,17,27,53
1603462570.8125,17,27,53
1603462570.84375,17,27,53
1603462570.875,17,27,53
1603462570.90625,17,27,53
1603462570.9375,17,27,54
1603462570.96875,17,27,53
1603462571.0,17,27,53
1603462571.03125,17,27,53
1603462571.0625,17,27,53
1603462571.09375,17,27,53
1603462571.125,17,27,53
1603462571.15625,17,27,53
1603462571.1875,17,27,53
1603462571.21875,17,27,53
1603462571.25,17,27,53
1603462571.28125,17,27,53
1603462571.3125,17,27,53
1603462571.34375,17,27,53
1603462571.375,17,27,53
1603462571.40625,17,27,53
1603462571.4375,17,27,53
1603462571.46875,17,27,54
1603462571.5,17,27,53
1603462571.53125,17,27,53
1603462571.5625,17,27,53
1603462571.59375,17,27,53
1603462571.625,17,27,53
1603462571.65625,17,27,53
1603462571.6875,17,27,53
1603462571.71875,17,27,53
1603462571.75,17,27,53
1603462571.78125,17,27,53
1603462571.8125,17,27,53
1603462571.84375,17,27,53
1603462571.875,17,27,53
1603462571.90625,17,27,53
1603462571.9375,17,27,53
1603462571.96875,17,27,53
1603462572.0,17,27,53
1603462572.03125,17,27,53
1603462572.0625,17,27,53
1603462572.09375,17,27,53
1603462572.125,18,27,53
1603462572.15625,18,27,54
1603462572.1875,17,27,53
1603462572.21875,17,27,53
1603462572.25,17,27,53
1603462572.28125,18,27,53
1603462572.3125,17,27,54
1603462572.34375,17,27,53
1603462572.375,17,27,53
1603462572.40625,17,27,53
1603462572.4375,17,27,53
1603462572.46875,17,27,53
1603462572.5,17,27,53
1603462572.53125,17,27,53
1603462572.5625,17,27,53
1603462572.59375,17,27,53
1603462572.625,17,27,53
1603462572.65625,17,27,53
1603462572.6875,17,27,53
1603462572.71875,17,27,53
1603462572.75,17,27,53
1603462572.78125,17,27,53
1603462572.8125,17,27,53
1603462572.84375,17,27,53
1603462572.875,17,27,53
1603462572.90625,17,27,53
