Time_stamp,Value
1603462567.0,-0.00
1603462567.015625,-0.00
1603462567.03125,-0.00
1603462567.046875,-0.00
1603462567.0625,-0.00
1603462567.078125,-0.00
1603462567.09375,-0.00
1603462567.109375,-0.00
1603462567.125,-0.00
1603462567.140625,-0.00
1603462567.15625,0.00
1603462567.171875,0.01
1603462567.1875,0.01
1603462567.203125,-0.00
1603462567.21875,-0.03
1603462567.234375,-0.05
1603462567.25,-0.05
1603462567.265625,0.00
1603462567.28125,0.13
1603462567.296875,0.36
1603462567.3125,0.66
1603462567.328125,1.01
1603462567.34375,1.37
1603462567.359375,1.72
1603462567.375,2.06
1603462567.390625,2.40
1603462567.40625,2.79
1603462567.421875,3.24
1603462567.4375,3.80
1603462567.453125,4.42
1603462567.46875,5.06
1603462567.484375,5.66
1603462567.5,6.20
1603462567.515625,6.68
1603462567.53125,7.15
1603462567.546875,7.68
1603462567.5625,8.31
1603462567.578125,9.14
1603462567.59375,10.09
1603462567.609375,11.04
1603462567.625,11.88
1603462567.640625,12.56
1603462567.65625,13.14
1603462567.671875,13.76
1603462567.6875,14.65
1603462567.703125,15.96
1603462567.71875,17.91
1603462567.734375,20.32
1603462567.75,22.90
1603462567.765625,25.38
1603462567.78125,27.58
1603462567.796875,29.57
1603462567.8125,31.68
1603462567.828125,34.32
1603462567.84375,37.81
1603462567.859375,42.54
1603462567.875,48.15
1603462567.890625,54.10
1603462567.90625,59.83
1603462567.921875,64.97
1603462567.9375,69.58
1603462567.953125,74.14
1603462567.96875,79.34
1603462567.984375,85.71
1603462568.0,93.76
1603462568.015625,103.00
1603462568.03125,112.62
1603462568.046875,121.73
1603462568.0625,129.77
1603462568.078125,136.75
1603462568.09375,143.30
1603462568.109375,150.75
1603462568.125,157.77
1603462568.140625,166.64
1603462568.15625,177.95
1603462568.171875,191.79
1603462568.1875,206.97
1603462568.203125,220.57
1603462568.21875,228.25
1603462568.234375,225.36
1603462568.25,208.53
1603462568.265625,176.87
1603462568.28125,132.76
1603462568.296875,80.05
1603462568.3125,23.07
1603462568.328125,-34.94
1603462568.34375,-92.44
1603462568.359375,-149.16
1603462568.375,-205.23
1603462568.390625,-260.37
1603462568.40625,-313.74
1603462568.421875,-363.87
1603462568.4375,-409.83
1603462568.453125,-450.91
1603462568.46875,-486.50
1603462568.484375,-515.74
1603462568.5,-537.23
1603462568.515625,-549.22
1603462568.53125,-549.96
1603462568.546875,-538.37
1603462568.5625,-514.21
1603462568.578125,-478.67
1603462568.59375,-433.88
1603462568.609375,-382.45
1603462568.625,-327.02
1603462568.640625,-269.84
1603462568.65625,-212.63
1603462568.671875,-156.66
1603462568.6875,-102.95
1603462568.703125,-52.37
1603462568.71875,-5.90
1603462568.734375,35.58
1603462568.75,71.43
1603462568.765625,101.35
1603462568.78125,125.50
1603462568.796875,144.38
1603462568.8125,158.69
1603462568.828125,169.15
