Time_stamp,Value
-1815588.0,-0.00
-1815587.984375,-0.00
-1815587.96875,-0.00
-1815587.953125,-0.00
-1815587.9375,-0.00
-1815587.921875,-0.00
-1815587.90625,-0.00
-1815587.890625,-0.00
-1815587.875,-0.00
-1815587.859375,-0.00
-1815587.84375,0.00
-1815587.828125,0.01
-1815587.8125,0.01
-1815587.796875,-0.00
-1815587.78125,-0.03
-1815587.765625,-0.05
-1815587.75,-0.05
-1815587.734375,0.00
-1815587.71875,0.13
-1815587.703125,0.36
-1815587.6875,0.66
-1815587.671875,1.01
-1815587.65625,1.37
-1815587.640625,1.72
-1815587.625,2.06
-1815587.609375,2.40
-1815587.59375,2.79
-1815587.578125,3.24
-1815587.5625,3.80
-1815587.546875,4.42
-1815587.53125,5.06
-1815587.515625,5.66
-1815587.5,6.20
-1815587.484375,6.68
-1815587.46875,7.15
-1815587.453125,7.68
-1815587.4375,8.31
-1815587.421875,9.14
-1815587.40625,10.09
-1815587.390625,11.04
-1815587.375,11.88
-1815587.359375,12.56
-1815587.34375,13.14
-1815587.328125,13.76
-1815587.3125,14.65
-1815587.296875,15.96
-1815587.28125,17.91
-1815587.265625,20.32
-1815587.25,22.90
-1815587.234375,25.38
-1815587.21875,27.58
-1815587.203125,29.57
-1815587.1875,31.68
-1815587.171875,34.32
-1815587.15625,37.81
-1815587.140625,42.54
-1815587.125,48.15
-1815587.109375,54.10
-1815587.09375,59.83
-1815587.078125,64.97
-1815587.0625,69.58
-1815587.046875,74.14
-1815587.03125,79.34
-1815587.015625,85.71
-1815587.0,93.76
-1815586.984375,103.00
-1815586.96875,112.62
-1815586.953125,121.73
-1815586.9375,129.77
-1815586.921875,136.75
-1815586.90625,143.30
-1815586.890625,150.75
-1815586.875,157.77
-1815586.859375,166.64
-1815586.84375,177.95
-1815586.828125,191.79
-1815586.8125,206.97
-1815586.796875,220.57
-1815586.78125,228.25
-1815586.765625,225.36
-1815586.75,208.53
-1815586.734375,176.87
-1815586.71875,132.76
-1815586.703125,80.05
-1815586.6875,23.07
-1815586.671875,-34.94
-1815586.65625,-92.44
-1815586.640625,-149.16
-1815586.625,-205.23
-1815586.609375,-260.37
-1815586.59375,-313.74
-1815586.578125,-363.87
-1815586.5625,-409.83
-1815586.546875,-450.91
-1815586.53125,-486.50
-1815586.515625,-515.74
-1815586.5,-537.23
-1815586.484375,-549.22
-1815586.46875,-549.96
-1815586.453125,-538.37
-1815586.4375,-514.21
-1815586.421875,-478.67
-1815586.40625,-433.88
-1815586.390625,-382.45
-1815586.375,-327.02
-1815586.359375,-269.84
-1815586.34375,-212.63
-1815586.328125,-156.66
-1815586.3125,-102.95
-1815586.296875,-52.37
-1815586.28125,-5.90
-1815586.265625,35.58
-1815586.25,71.43
-1815586.234375,101.35
-1815586.21875,125.50
-1815586.203125,144.38
-1815586.1875,158.69
-1815586.171875,169.15
-1815586.15625,176.37
-1815586.140625,180.75
-1815586.125,182.57
-1815586.109375,182.07
-1815586.09375,179.51
-1815586.078125,175.23
-1815586.0625,169.65
-1815586.046875,163.18
-1815586.03125,156.15
-1815586.015625,148.81
-1815586.0,141.30
-1815585.984375,133.69
-1815585.96875,126.02
-1815585.953125,118.33
-1815585.9375,110.69
-1815585.921875,103.16
-1815585.90625,95.80
-1815585.890625,88.68
-1815585.875,81.83
-1815585.859375,75.25
-1815585.84375,68.95
-1815585.828125,62.95
-1815585.8125,57.25
-1815585.796875,51.86
-1815585.78125,46.78
-1815585.765625,42.03
-1815585.75,37.59
-1815585.734375,33.45
-1815585.71875,29.61
-1815585.703125,26.07
-1815585.6875,22.81
-1815585.671875,19.83
-1815585.65625,17.11
-1815585.640625,14.67
-1815585.625,12.48
-1815585.609375,10.54
-1815585.59375,8.83
-1815585.578125,7.35
-1815585.5625,6.07
-1815585.546875,4.97
-1815585.53125,4.05
-1815585.515625,3.27
-1815585.5,2.62
-1815585.484375,2.09
-1815585.46875,1.65
-1815585.453125,1.30
-1815585.4375,1.01
-1815585.421875,0.79
-1815585.40625,0.61
-1815585.390625,0.48
-1815585.375,0.38
-1815585.359375,0.30
-1815585.34375,0.25
-1815585.328125,0.22
-1815585.3125,0.20
-1815585.296875,0.20
-1815585.28125,0.21
-1815585.265625,0.23
-1815585.25,0.25
-1815585.234375,0.28
-1815585.21875,0.32
-1815585.203125,0.36
-1815585.1875,0.40
-1815585.171875,0.44
-1815585.15625,0.49
-1815585.140625,0.53
-1815585.125,0.59
-1815585.109375,0.64
-1815585.09375,0.69
-1815585.078125,0.75
-1815585.0625,0.81
-1815585.046875,0.88
-1815585.03125,0.95
-1815585.015625,1.04
-1815585.0,1.13
-1815584.984375,1.23
-1815584.96875,1.35
-1815584.953125,1.48
-1815584.9375,1.62
-1815584.921875,1.78
-1815584.90625,1.96
-1815584.890625,2.17
-1815584.875,2.39
-1815584.859375,2.64
-1815584.84375,2.91
-1815584.828125,3.21
-1815584.8125,3.54
-1815584.796875,3.91
-1815584.78125,4.30
-1815584.765625,4.74
-1815584.75,5.20
-1815584.734375,5.70
-1815584.71875,6.25
-1815584.703125,6.83
-1815584.6875,7.45
-1815584.671875,8.12
-1815584.65625,8.83
-1815584.640625,9.58
-1815584.625,10.37
-1815584.609375,11.22
-1815584.59375,12.10
-1815584.578125,13.03
-1815584.5625,14.02
-1815584.546875,15.07
-1815584.53125,16.18
-1815584.515625,17.35
-1815584.5,18.58
-1815584.484375,19.84
-1815584.46875,21.10
-1815584.453125,22.29
-1815584.4375,23.35
-1815584.421875,24.15
-1815584.40625,24.59
-1815584.390625,24.54
-1815584.375,23.90
-1815584.359375,22.59
-1815584.34375,20.55
-1815584.328125,17.81
-1815584.3125,14.44
-1815584.296875,10.52
-1815584.28125,6.24
-1815584.265625,1.79
-1815584.25,-2.61
-1815584.234375,-6.75
-1815584.21875,-10.44
-1815584.203125,-13.54
-1815584.1875,-15.93
-1815584.171875,-17.58
-1815584.15625,-18.50
-1815584.140625,-18.71
-1815584.125,-18.32
-1815584.109375,-17.44
-1815584.09375,-16.15
-1815584.078125,-14.58
-1815584.0625,-12.84
-1815584.046875,-11.02
-1815584.03125,-9.21
-1815584.015625,-7.46
-1815584.0,-5.74
-1815583.984375,-4.12
-1815583.96875,-2.52
-1815583.953125,-0.93
-1815583.9375,0.69
-1815583.921875,2.35
-1815583.90625,4.02
-1815583.890625,5.67
-1815583.875,7.32
-1815583.859375,9.03
-1815583.84375,10.77
-1815583.828125,12.56
-1815583.8125,14.50
-1815583.796875,16.62
-1815583.78125,18.92
-1815583.765625,21.34
-1815583.75,23.83
-1815583.734375,26.40
-1815583.71875,29.17
-1815583.703125,32.04
-1815583.6875,35.11
-1815583.671875,38.48
-1815583.65625,42.20
-1815583.640625,46.20
-1815583.625,50.26
-1815583.609375,54.15
-1815583.59375,57.75
-1815583.578125,61.22
-1815583.5625,64.48
-1815583.546875,67.75
-1815583.53125,71.37
-1815583.515625,75.47
-1815583.5,79.86
-1815583.484375,84.08
-1815583.46875,87.55
-1815583.453125,89.92
-1815583.4375,91.34
-1815583.421875,91.72
-1815583.40625,91.53
-1815583.390625,91.23
-1815583.375,90.88
-1815583.359375,89.78
-1815583.34375,86.51
-1815583.328125,79.08
-1815583.3125,65.13
-1815583.296875,47.34
-1815583.28125,27.06
-1815583.265625,5.73
-1815583.25,-15.36
-1815583.234375,-35.50
-1815583.21875,-54.81
-1815583.203125,-73.93
-1815583.1875,-93.86
-1815583.171875,-115.46
-1815583.15625,-139.47
-1815583.140625,-166.91
-1815583.125,-197.78
-1815583.109375,-230.47
-1815583.09375,-261.44
-1815583.078125,-285.69
-1815583.0625,-298.22
-1815583.046875,-295.88
-1815583.03125,-278.76
-1815583.015625,-250.30
-1815583.0,-216.34
-1815582.984375,-182.34
-1815582.96875,-151.60
-1815582.953125,-124.85
-1815582.9375,-101.08
-1815582.921875,-79.12
-1815582.90625,-58.70
-1815582.890625,-40.53
-1815582.875,-25.49
-1815582.859375,-13.99
-1815582.84375,-5.24
-1815582.828125,2.33
-1815582.8125,10.01
-1815582.796875,18.11
-1815582.78125,25.80
-1815582.765625,31.69
-1815582.75,34.72
-1815582.734375,34.90
-1815582.71875,33.25
-1815582.703125,31.51
-1815582.6875,31.30
-1815582.671875,33.32
-1815582.65625,37.17
-1815582.640625,41.50
-1815582.625,44.68
-1815582.609375,45.49
-1815582.59375,43.51
-1815582.578125,39.14
-1815582.5625,33.40
-1815582.546875,27.42
-1815582.53125,22.13
-1815582.515625,17.97
-1815582.5,14.88
-1815582.484375,12.51
-1815582.46875,10.31
-1815582.453125,7.76
-1815582.4375,4.48
-1815582.421875,0.42
-1815582.40625,-3.96
-1815582.390625,-7.64
-1815582.375,-9.36
-1815582.359375,-8.11
-1815582.34375,-3.62
-1815582.328125,3.39
-1815582.3125,11.50
-1815582.296875,19.32
-1815582.28125,26.02
-1815582.265625,31.69
-1815582.25,37.19
-1815582.234375,43.55
-1815582.21875,51.53
-1815582.203125,61.24
-1815582.1875,72.20
-1815582.171875,83.56
-1815582.15625,94.45
-1815582.140625,104.03
-1815582.125,111.61
-1815582.109375,116.59
-1815582.09375,118.44
-1815582.078125,116.94
-1815582.0625,112.36
-1815582.046875,105.70
-1815582.03125,98.54
-1815582.015625,92.43
-1815582.0,87.80
-1815581.984375,83.07
-1815581.96875,74.66
-1815581.953125,58.12
-1815581.9375,30.12
-1815581.921875,-9.64
-1815581.90625,-57.85
-1815581.890625,-108.57
-1815581.875,-155.34
-1815581.859375,-193.41
-1815581.84375,-221.08
-1815581.828125,-239.72
-1815581.8125,-252.81
-1815581.796875,-264.59
-1815581.78125,-278.82
-1815581.765625,-297.96
-1815581.75,-322.63
-1815581.734375,-351.24
-1815581.71875,-380.14
-1815581.703125,-404.23
-1815581.6875,-418.27
-1815581.671875,-418.26
-1815581.65625,-402.59
-1815581.640625,-372.31
-1815581.625,-330.55
-1815581.609375,-281.35
-1815581.59375,-228.51
-1815581.578125,-174.70
-1815581.5625,-121.16
-1815581.546875,-67.98
-1815581.53125,-14.90
-1815581.515625,37.84
-1815581.5,88.93
-1815581.484375,136.09
-1815581.46875,176.74
-1815581.453125,209.02
-1815581.4375,232.46
-1815581.421875,248.01
-1815581.40625,257.42
-1815581.390625,262.35
-1815581.375,263.74
-1815581.359375,261.88
-1815581.34375,257.04
-1815581.328125,250.02
-1815581.3125,242.31
-1815581.296875,235.54
-1815581.28125,230.71
-1815581.265625,227.49
-1815581.25,224.28
