Time_stamp,Electrodermal_activity
1601392417.0,0.000000
1601392417.25,0.832765
1601392417.5,1.180231
1601392417.75,1.398100
1601392418.0,1.405787
1601392418.25,1.403225
1601392418.5,1.401943
1601392418.75,1.400662
1601392419.0,1.396819
1601392419.25,1.387850
1601392419.5,1.385288
1601392419.75,1.384007
1601392420.0,1.380163
1601392420.25,1.378882
1601392420.5,1.375039
1601392420.75,1.369914
1601392421.0,1.364789
1601392421.25,1.360946
1601392421.5,1.355821
1601392421.75,1.353259
1601392422.0,1.357102
1601392422.25,1.359665
1601392422.5,1.339166
1601392422.75,1.336603
1601392423.0,1.339166
1601392423.25,1.335322
1601392423.5,1.328916
1601392423.75,1.330197
1601392424.0,1.328916
1601392424.25,1.325073
1601392424.5,1.318667
1601392424.75,1.317386
1601392425.0,1.312261
1601392425.25,1.308417
1601392425.5,1.307136
1601392425.75,1.305855
1601392426.0,1.304574
1601392426.25,1.296887
1601392426.5,1.294325
1601392426.75,1.291762
1601392427.0,1.290481
1601392427.25,1.285356
1601392427.5,1.280232
1601392427.75,1.278950
1601392428.0,1.276388
1601392428.25,1.273826
1601392428.5,1.271263
1601392428.75,1.264857
1601392429.0,1.263576
1601392429.25,1.263576
1601392429.5,1.261014
1601392429.75,1.257170
1601392430.0,1.255889
1601392430.25,1.255889
1601392430.5,1.252046
1601392430.75,1.250764
1601392431.0,1.245640
1601392431.25,1.239234
1601392431.5,1.245640
1601392431.75,1.236672
1601392432.0,1.235390
1601392432.25,1.228984
1601392432.5,1.226422
1601392432.75,1.223860
1601392433.0,1.222579
1601392433.25,1.214892
1601392433.5,1.208486
1601392433.75,1.208486
1601392434.0,1.203361
1601392434.25,1.202080
1601392434.5,1.198236
1601392434.75,1.191830
1601392435.0,1.193112
1601392435.25,1.191830
1601392435.5,1.186706
1601392435.75,1.184143
1601392436.0,1.179019
1601392436.25,1.179019
1601392436.5,1.176456
1601392436.75,1.172613
1601392437.0,1.171332
1601392437.25,1.180300
1601392437.5,1.189268
1601392437.75,1.200799
1601392438.0,1.211048
1601392438.25,1.221297
1601392438.5,1.232828
1601392438.75,1.243077
1601392439.0,1.253327
1601392439.25,1.254608
1601392439.5,1.263576
1601392439.75,1.264857
1601392440.0,1.261014
1601392440.25,1.261014
1601392440.5,1.253327
1601392440.75,1.250764
1601392441.0,1.248202
1601392441.25,1.244359
1601392441.5,1.240515
1601392441.75,1.235390
1601392442.0,1.234109
1601392442.25,1.239234
1601392442.5,1.248202
1601392442.75,1.249483
1601392443.0,1.250764
1601392443.25,1.248202
1601392443.5,1.248202
1601392443.75,1.245640
1601392444.0,1.240515
1601392444.25,1.234109
1601392444.5,1.236672
1601392444.75,1.228984
1601392445.0,1.227703
1601392445.25,1.221297
1601392445.5,1.217454
1601392445.75,1.217454
1601392446.0,1.209767
1601392446.25,1.208486
1601392446.5,1.203361
1601392446.75,1.195674
1601392447.0,1.194393
1601392447.25,1.194393
1601392447.5,1.186706
1601392447.75,1.181581
1601392448.0,1.182862
1601392448.25,1.184143
1601392448.5,1.189268
1601392448.75,1.198236
1601392449.0,1.218735
1601392449.25,1.235390
1601392449.5,1.257170
1601392449.75,1.268701
1601392450.0,1.281513
1601392450.25,1.289200
1601392450.5,1.296887
1601392450.75,1.305855
1601392451.0,1.308417
1601392451.25,1.310980
1601392451.5,1.310980
1601392451.75,1.317386
1601392452.0,1.316105
1601392452.25,1.309699
1601392452.5,1.299449
1601392452.75,1.295606
1601392453.0,1.290481
1601392453.25,1.287919
1601392453.5,1.285356
1601392453.75,1.278950
1601392454.0,1.275107
1601392454.25,1.272545
1601392454.5,1.269982
1601392454.75,1.258452
1601392455.0,1.254608
1601392455.25,1.253327
1601392455.5,1.246921
1601392455.75,1.243077
1601392456.0,1.236672
1601392456.25,1.234109
1601392456.5,1.231547
1601392456.75,1.232828
1601392457.0,1.228984
1601392457.25,1.222579
1601392457.5,1.221297
1601392457.75,1.222579
1601392458.0,1.217454
1601392458.25,1.216173
1601392458.5,1.209767
1601392458.75,1.211048
1601392459.0,1.207204
1601392459.25,1.207204
1601392459.5,1.204642
1601392459.75,1.198236
1601392460.0,1.202080
1601392460.25,1.203361
1601392460.5,1.199517
1601392460.75,1.196955
1601392461.0,1.193112
1601392461.25,1.194393
1601392461.5,1.190549
1601392461.75,1.194393
1601392462.0,1.184143
1601392462.25,1.185424
1601392462.5,1.184143
1601392462.75,1.184143
1601392463.0,1.186706
1601392463.25,1.181581
1601392463.5,1.185424
1601392463.75,1.187987
1601392464.0,1.187987
1601392464.25,1.185424
1601392464.5,1.180300
1601392464.75,1.184143
1601392465.0,1.184143
1601392465.25,1.186706
1601392465.5,1.191830
1601392465.75,1.190549
1601392466.0,1.198236
1601392466.25,1.202080
1601392466.5,1.211048
1601392466.75,1.202080
1601392467.0,1.205923
1601392467.25,1.221297
1601392467.5,1.207204
1601392467.75,1.202080
1601392468.0,1.194393
1601392468.25,1.194393
1601392468.5,1.193112
1601392468.75,1.190549
1601392469.0,1.187987
1601392469.25,1.185424
1601392469.5,1.180300
1601392469.75,1.179019
1601392470.0,1.175175
1601392470.25,1.175175
1601392470.5,1.172613
1601392470.75,1.166207
1601392471.0,1.167488
1601392471.25,1.166207
1601392471.5,1.162363
1601392471.75,1.157239
1601392472.0,1.159801
1601392472.25,1.161082
1601392472.5,1.159801
1601392472.75,1.161082
