Time_stamp,Electrodermal_activity
0.5,1.180231
0.75,1.3981
1.0,1.4057870000000001
1.25,1.403225
1.5,1.401943
1.75,1.400662
2.0,1.396819
2.25,1.38785
2.5,1.3852879999999999
2.75,1.384007
3.0,1.380163
3.25,1.378882
3.5,1.375039
3.75,1.3699139999999999
4.0,1.364789
4.25,1.360946
4.5,1.355821
4.75,1.353259
5.0,1.357102
5.25,1.359665
5.5,1.339166
5.75,1.336603
6.0,1.339166
6.25,1.335322
6.5,1.328916
6.75,1.3301969999999999
7.0,1.328916
7.25,1.325073
7.5,1.318667
7.75,1.3173860000000002
8.0,1.3122610000000001
8.25,1.308417
8.5,1.307136
8.75,1.305855
9.0,1.304574
9.25,1.2968870000000001
9.5,1.294325
9.75,1.291762
10.0,1.290481
10.25,1.285356
10.5,1.280232
10.75,1.27895
11.0,1.2763879999999999
11.25,1.2738260000000001
11.5,1.2712629999999998
11.75,1.264857
12.0,1.263576
12.25,1.263576
12.5,1.2610139999999999
12.75,1.2571700000000001
13.0,1.255889
13.25,1.255889
13.5,1.252046
13.75,1.250764
14.0,1.2456399999999999
14.25,1.239234
14.5,1.2456399999999999
14.75,1.236672
15.0,1.23539
15.25,1.228984
15.5,1.226422
15.75,1.22386
16.0,1.222579
16.25,1.214892
16.5,1.208486
16.75,1.208486
17.0,1.2033610000000001
17.25,1.20208
17.5,1.198236
17.75,1.19183
18.0,1.1931120000000002
18.25,1.19183
18.5,1.186706
18.75,1.184143
19.0,1.179019
19.25,1.179019
19.5,1.176456
19.75,1.172613
20.0,1.171332
20.25,1.1803
20.5,1.189268
20.75,1.200799
21.0,1.211048
21.25,1.2212969999999999
21.5,1.232828
21.75,1.243077
22.0,1.253327
22.25,1.254608
22.5,1.263576
22.75,1.264857
23.0,1.2610139999999999
23.25,1.2610139999999999
23.5,1.253327
23.75,1.250764
24.0,1.248202
24.25,1.244359
24.5,1.240515
24.75,1.23539
25.0,1.2341090000000001
25.25,1.239234
25.5,1.248202
25.75,1.249483
26.0,1.250764
26.25,1.248202
26.5,1.248202
26.75,1.2456399999999999
27.0,1.240515
27.25,1.2341090000000001
27.5,1.236672
27.75,1.228984
28.0,1.227703
28.25,1.2212969999999999
28.5,1.217454
28.75,1.217454
29.0,1.209767
29.25,1.208486
29.5,1.2033610000000001
29.75,1.195674
30.0,1.194393
30.25,1.194393
30.5,1.186706
30.75,1.181581
31.0,1.182862
31.25,1.184143
31.5,1.189268
31.75,1.198236
32.0,1.2187350000000001
32.25,1.23539
32.5,1.2571700000000001
32.75,1.268701
33.0,1.281513
33.25,1.2892
33.5,1.2968870000000001
33.75,1.305855
34.0,1.308417
34.25,1.31098
34.5,1.31098
34.75,1.3173860000000002
35.0,1.3161049999999999
35.25,1.309699
35.5,1.299449
35.75,1.295606
36.0,1.290481
36.25,1.287919
36.5,1.285356
36.75,1.27895
37.0,1.275107
37.25,1.272545
37.5,1.269982
37.75,1.2584520000000001
38.0,1.254608
38.25,1.253327
38.5,1.246921
38.75,1.243077
39.0,1.236672
39.25,1.2341090000000001
39.5,1.231547
39.75,1.232828
40.0,1.228984
40.25,1.222579
40.5,1.2212969999999999
40.75,1.222579
41.0,1.217454
41.25,1.216173
41.5,1.209767
41.75,1.211048
42.0,1.2072040000000002
42.25,1.2072040000000002
42.5,1.204642
42.75,1.198236
43.0,1.20208
43.25,1.2033610000000001
43.5,1.199517
43.75,1.196955
44.0,1.1931120000000002
44.25,1.194393
44.5,1.190549
44.75,1.194393
45.0,1.184143
45.25,1.185424
45.5,1.184143
45.75,1.184143
46.0,1.186706
46.25,1.181581
46.5,1.185424
46.75,1.1879870000000001
47.0,1.1879870000000001
47.25,1.185424
47.5,1.1803
47.75,1.184143
48.0,1.184143
48.25,1.186706
48.5,1.19183
48.75,1.190549
49.0,1.198236
49.25,1.20208
49.5,1.211048
49.75,1.20208
50.0,1.2059229999999999
50.25,1.2212969999999999
50.5,1.2072040000000002
50.75,1.20208
51.0,1.194393
51.25,1.194393
51.5,1.1931120000000002
51.75,1.190549
52.0,1.1879870000000001
52.25,1.185424
52.5,1.1803
52.75,1.179019
53.0,1.175175
53.25,1.175175
53.5,1.172613
53.75,1.166207
54.0,1.1674879999999999
54.25,1.166207
54.5,1.1623629999999998
54.75,1.157239
55.0,1.159801
55.25,1.161082
55.5,1.159801
55.75,1.161082
56.0,1.159801
56.25,1.161082
56.5,1.1623629999999998
56.75,1.1674879999999999
57.0,1.1649260000000001
57.25,1.1674879999999999
57.5,1.166207
57.75,1.1674879999999999
58.0,1.17005
58.25,1.1674879999999999
58.5,1.168769
58.75,1.166207
59.0,1.166207
