Time_stamp,Electrodermal_activity
-37.0,0.000000
-36.75,0.507163
-36.5,0.551988
-36.25,0.566076
-36.0,0.555830
-35.75,0.554549
-35.5,0.553268
-35.25,0.557111
-35.0,0.555830
-34.75,0.554549
-34.5,0.551988
-34.25,0.551988
-34.0,0.553268
-33.75,0.551988
-33.5,0.551988
-33.25,0.551988
-33.0,0.551988
-32.75,0.554549
-32.5,0.550707
-32.25,0.551988
-32.0,0.549426
-31.75,0.549426
-31.5,0.550707
-31.25,0.549426
-31.0,0.550707
-30.75,0.548146
-30.5,0.549426
-30.25,0.548146
-30.0,0.548146
-29.75,0.548146
-29.5,0.548146
-29.25,0.548146
-29.0,0.546865
-28.75,0.548146
-28.5,0.548146
-28.25,0.548146
-28.0,0.546865
-27.75,0.546865
-27.5,0.550707
-27.25,0.551988
-27.0,0.551988
-26.75,0.549426
-26.5,0.549426
-26.25,0.550707
-26.0,0.549426
-25.75,0.549426
-25.5,0.549426
-25.25,0.548146
-25.0,0.549426
-24.75,0.550707
-24.5,0.549426
-24.25,0.549426
-24.0,0.549426
-23.75,0.548146
-23.5,0.548146
-23.25,0.548146
-23.0,0.548146
-22.75,0.546865
-22.5,0.545584
-22.25,0.548146
-22.0,0.546865
-21.75,0.545584
-21.5,0.544304
-21.25,0.545584
-21.0,0.546865
-20.75,0.545584
-20.5,0.545584
-20.25,0.543023
-20.0,0.545584
-19.75,0.555830
-19.5,0.545584
-19.25,0.545584
-19.0,0.543023
-18.75,0.548146
-18.5,0.549426
-18.25,0.549426
-18.0,0.549426
-17.75,0.546865
-17.5,0.546865
-17.25,0.549426
-17.0,0.548146
-16.75,0.548146
-16.5,0.545584
-16.25,0.544304
-16.0,0.546865
-15.75,0.546865
-15.5,0.548146
-15.25,0.544304
-15.0,0.545584
-14.75,0.545584
-14.5,0.545584
-14.25,0.546865
-14.0,0.545584
-13.75,0.544304
-13.5,0.545584
-13.25,0.546865
-13.0,0.546865
-12.75,0.548146
-12.5,0.545584
-12.25,0.546865
-12.0,0.546865
-11.75,0.546865
-11.5,0.546865
-11.25,0.545584
-11.0,0.545584
-10.75,0.545584
-10.5,0.545584
-10.25,0.546865
-10.0,0.545584
-9.75,0.544304
-9.5,0.544304
-9.25,0.544304
-9.0,0.544304
-8.75,0.545584
-8.5,0.544304
-8.25,0.544304
-8.0,0.545584
-7.75,0.545584
-7.5,0.548146
-7.25,0.545584
-7.0,0.546865
-6.75,0.545584
-6.5,0.546865
-6.25,0.546865
-6.0,0.546865
-5.75,0.544304
-5.5,0.544304
-5.25,0.546865
-5.0,0.546865
-4.75,0.548146
-4.5,0.545584
-4.25,0.546865
-4.0,0.545584
-3.75,0.545584
-3.5,0.545584
-3.25,0.546865
-3.0,0.544304
-2.75,0.544304
-2.5,0.545584
-2.25,0.545584
-2.0,0.545584
-1.75,0.541742
-1.5,0.540461
-1.25,0.543023
-1.0,0.544304
-0.75,0.544304
-0.5,0.543023
-0.25,0.541742
0.0,0.541742
0.25,0.541742
0.5,0.543023
0.75,0.540461
1.0,0.539181
1.25,0.537900
1.5,0.539181
1.75,0.539181
2.0,0.540461
2.25,0.537900
2.5,0.539181
2.75,0.537900
3.0,0.537900
3.25,0.539181
3.5,0.537900
3.75,0.537900
4.0,0.537900
4.25,0.539181
4.5,0.537900
4.75,0.539181
5.0,0.543023
5.25,0.543023
5.5,0.543023
5.75,0.541742
6.0,0.541742
6.25,0.539181
6.5,0.540461
6.75,0.541742
7.0,0.543023
7.25,0.539181
7.5,0.539181
7.75,0.540461
8.0,0.540461
8.25,0.540461
8.5,0.537900
8.75,0.537900
9.0,0.539181
9.25,0.539181
9.5,0.539181
9.75,0.539181
10.0,0.537900
10.25,0.536619
10.5,0.539181
10.75,0.539181
11.0,0.539181
11.25,0.536619
11.5,0.536619
11.75,0.536619
12.0,0.537900
12.25,0.539181
12.5,0.537900
12.75,0.536619
13.0,0.536619
13.25,0.537900
13.5,0.537900
13.75,0.536619
14.0,0.534058
14.25,0.536619
14.5,0.537900
14.75,0.536619
15.0,0.536619
15.25,0.535339
15.5,0.537900
15.75,0.537900
16.0,0.537900
16.25,0.539181
16.5,0.536619
16.75,0.535339
17.0,0.537900
17.25,0.536619
17.5,0.537900
17.75,0.536619
18.0,0.537900
18.25,0.536619
18.5,0.537900
18.75,0.539181
19.0,0.537900
19.25,0.536619
19.5,0.537900
19.75,0.537900
20.0,0.539181
20.25,0.536619
20.5,0.537900
20.75,0.539181
21.0,0.537900
21.25,0.539181
21.5,0.537900
21.75,0.537900
22.0,0.537900
22.25,0.536619
22.5,0.537900
22.75,0.539181
23.0,0.537900
23.25,0.536619
23.5,0.537900
23.75,0.539181
24.0,0.539181
24.25,0.537900
24.5,0.539181
24.75,0.539181
25.0,0.537900
25.25,0.539181
25.5,0.537900
25.75,0.537900
26.0,0.539181
26.25,0.539181
26.5,0.540461
26.75,0.537900
27.0,0.537900
27.25,0.537900
27.5,0.539181
27.75,0.537900
28.0,0.537900
28.25,0.537900
28.5,0.536619
28.75,0.537900
29.0,0.539181
29.25,0.537900
29.5,0.537900
29.75,0.539181
30.0,0.540461
30.25,0.539181
30.5,0.539181
30.75,0.539181
31.0,0.537900
31.25,0.537900
31.5,0.539181
31.75,0.539181
32.0,0.537900
32.25,0.537900
32.5,0.540461
32.75,0.539181
33.0,0.540461
33.25,0.536619
33.5,0.537900
33.75,0.539181
34.0,0.540461
34.25,0.540461
34.5,0.537900
34.75,0.537900
35.0,0.540461
35.25,0.540461
35.5,0.540461
35.75,0.537900
36.0,0.536619
36.25,0.544304
36.5,0.548146
36.75,0.548146
37.0,0.546865
37.25,0.545584
37.5,0.545584
37.75,0.546865
38.0,0.546865
38.25,0.544304
38.5,0.545584
38.75,0.544304
39.0,0.545584
39.25,0.548146
39.5,0.546865
39.75,0.546865
40.0,0.546865
40.25,0.546865
40.5,0.546865
40.75,0.546865
41.0,0.545584
41.25,0.546865
41.5,0.546865
41.75,0.548146
42.0,0.545584
42.25,0.545584
42.5,0.548146
42.75,0.546865
43.0,0.546865
43.25,0.544304
43.5,0.545584
43.75,0.546865
44.0,0.545584
44.25,0.548146
44.5,0.544304
44.75,0.544304
45.0,0.545584
45.25,0.545584
45.5,0.546865
45.75,0.544304
46.0,0.545584
46.25,0.546865
46.5,0.546865
46.75,0.546865
47.0,0.548146
47.25,0.544304
47.5,0.545584
47.75,0.546865
48.0,0.546865
48.25,0.544304
48.5,0.545584
48.75,0.548146
49.0,0.546865
49.25,0.546865
49.5,0.545584
49.75,0.543023
50.0,0.545584
50.25,0.544304
50.5,0.546865
50.75,0.544304
51.0,0.544304
51.25,0.546865
51.5,0.546865
51.75,0.546865
52.0,0.545584
52.25,0.544304
52.5,0.543023
52.75,0.545584
53.0,0.546865
53.25,0.546865
53.5,0.545584
53.75,0.546865
