Time_stamp,Av_heart_rate
1603462577.0,72.00
1603462578.0,70.00
1603462579.0,69.33
1603462580.0,69.00
1603462581.0,68.60
1603462582.0,68.17
1603462583.0,67.71
1603462584.0,67.38
1603462585.0,67.44
1603462586.0,67.40
1603462587.0,67.36
1603462588.0,67.33
1603462589.0,67.23
1603462590.0,67.21
1603462591.0,67.20
1603462592.0,67.19
1603462593.0,67.18
1603462594.0,67.00
1603462595.0,66.79
1603462596.0,66.55
1603462597.0,66.38
1603462598.0,66.32
1603462599.0,66.35
1603462600.0,66.46
1603462601.0,66.60
1603462602.0,66.81
1603462603.0,67.04
1603462604.0,67.29
1603462605.0,67.55
1603462606.0,67.77
1603462607.0,67.94
1603462608.0,68.06
1603462609.0,68.15
1603462610.0,68.21
1603462611.0,68.26
1603462612.0,68.28
1603462613.0,68.24
1603462614.0,68.21
1603462615.0,68.13
1603462616.0,68.07
1603462617.0,68.02
1603462618.0,67.98
1603462619.0,67.93
1603462620.0,67.91
1603462621.0,67.93
1603462622.0,67.98
1603462623.0,68.06
1603462624.0,68.15
1603462625.0,68.22
1603462626.0,68.28
1603462627.0,68.31
1603462628.0,68.33
1603462629.0,68.32
1603462630.0,68.28
1603462631.0,68.24
1603462632.0,68.20
1603462633.0,68.16
1603462634.0,68.12
1603462635.0,68.10
1603462636.0,68.08
1603462637.0,67.98
1603462638.0,67.93
1603462639.0,67.87
1603462640.0,67.78
1603462641.0,67.72
1603462642.0,67.65
1603462643.0,67.58
1603462644.0,67.52
1603462645.0,67.43
1603462646.0,67.38
1603462647.0,67.37
1603462648.0,67.37
1603462649.0,67.40
1603462650.0,67.43
1603462651.0,67.47
1603462652.0,67.48
1603462653.0,67.48
1603462654.0,67.52
1603462655.0,67.53
1603462656.0,67.55
1603462657.0,67.53
1603462658.0,67.47
1603462659.0,67.35
1603462660.0,67.20
1603462661.0,67.03
1603462662.0,66.83
1603462663.0,66.62
1603462664.0,66.38
1603462665.0,66.13
1603462666.0,65.90
1603462667.0,65.68
1603462668.0,65.48
1603462669.0,65.30
1603462670.0,65.13
1603462671.0,64.97
1603462672.0,64.80
1603462673.0,64.67
1603462674.0,64.53
1603462675.0,64.43
1603462676.0,64.32
1603462677.0,64.22
1603462678.0,64.12
1603462679.0,64.03
1603462680.0,63.93
1603462681.0,63.80
1603462682.0,63.65
1603462683.0,63.47
1603462684.0,63.28
1603462685.0,63.10
1603462686.0,62.93
1603462687.0,62.78
1603462688.0,62.63
1603462689.0,62.50
1603462690.0,62.40
1603462691.0,62.28
1603462692.0,62.17
1603462693.0,62.05
1603462694.0,61.92
1603462695.0,61.77
1603462696.0,61.63
1603462697.0,61.52
1603462698.0,61.43
1603462699.0,61.37
1603462700.0,61.32
1603462701.0,61.27
1603462702.0,61.23
1603462703.0,61.22
1603462704.0,61.20
1603462705.0,61.17
1603462706.0,61.12
1603462707.0,61.03
1603462708.0,60.93
1603462709.0,60.82
1603462710.0,60.68
1603462711.0,60.55
1603462712.0,60.43
1603462713.0,60.33
1603462714.0,60.25
1603462715.0,60.22
1603462716.0,60.20
1603462717.0,60.20
1603462718.0,60.22
1603462719.0,60.25
1603462720.0,60.30
1603462721.0,60.35
1603462722.0,60.40
1603462723.0,60.45
1603462724.0,60.50
1603462725.0,60.55
1603462726.0,60.60
1603462727.0,60.65
1603462728.0,60.70
1603462729.0,60.75
1603462730.0,60.80
1603462731.0,60.83
1603462732.0,60.88
1603462733.0,60.93
1603462734.0,60.97
1603462735.0,61.00
1603462736.0,61.02
1603462737.0,61.02
1603462738.0,61.02
1603462739.0,61.00
1603462740.0,60.98
1603462741.0,60.97
1603462742.0,60.95
1603462743.0,60.93
1603462744.0,60.92
1603462745.0,60.90
1603462746.0,60.90
1603462747.0,60.90
1603462748.0,60.92
1603462749.0,60.95
1603462750.0,60.98
1603462751.0,61.03
1603462752.0,61.10
1603462753.0,61.17
1603462754.0,61.25
1603462755.0,61.33
1603462756.0,61.40
1603462757.0,61.48
1603462758.0,61.55
1603462759.0,61.60
1603462760.0,61.65
1603462761.0,61.70
1603462762.0,61.75
1603462763.0,61.80
1603462764.0,61.85
1603462765.0,61.87
1603462766.0,61.88
1603462767.0,61.90
1603462768.0,61.92
1603462769.0,61.93
1603462770.0,61.95
1603462771.0,61.97
1603462772.0,61.98
1603462773.0,62.00
1603462774.0,62.02
1603462775.0,62.02
1603462776.0,62.03
1603462777.0,62.05
1603462778.0,62.08
1603462779.0,62.12
1603462780.0,62.13
1603462781.0,62.15
1603462782.0,62.17
1603462783.0,62.18
1603462784.0,62.20
1603462785.0,62.22
1603462786.0,62.22
1603462787.0,62.22
1603462788.0,62.22
1603462789.0,62.22
1603462790.0,62.23
1603462791.0,62.27
1603462792.0,62.30
1603462793.0,62.33
1603462794.0,62.38
1603462795.0,62.43
1603462796.0,62.50
1603462797.0,62.57
1603462798.0,62.63
1603462799.0,62.70
1603462800.0,62.77
1603462801.0,62.83
1603462802.0,62.92
1603462803.0,63.02
1603462804.0,63.15
1603462805.0,63.28
1603462806.0,63.42
1603462807.0,63.55
1603462808.0,63.70
1603462809.0,63.83
1603462810.0,63.97
1603462811.0,64.10
1603462812.0,64.20
1603462813.0,64.28
1603462814.0,64.37
1603462815.0,64.45
1603462816.0,64.53
1603462817.0,64.60
1603462818.0,64.67
1603462819.0,64.75
1603462820.0,64.82
1603462821.0,64.88
1603462822.0,64.93
1603462823.0,64.98
1603462824.0,65.03
1603462825.0,65.08
1603462826.0,65.12
1603462827.0,65.15
1603462828.0,65.18
1603462829.0,65.22
1603462830.0,65.23
1603462831.0,65.23
1603462832.0,65.23
1603462833.0,65.23
1603462834.0,65.23
1603462835.0,65.25
1603462836.0,65.25
1603462837.0,65.25
1603462838.0,65.23
1603462839.0,65.22
1603462840.0,65.22
1603462841.0,65.22
1603462842.0,65.23
1603462843.0,65.27
1603462844.0,65.33
1603462845.0,65.40
1603462846.0,65.50
1603462847.0,65.60
1603462848.0,65.72
1603462849.0,65.83
1603462850.0,65.92
1603462851.0,66.00
1603462852.0,66.08
1603462853.0,66.13
1603462854.0,66.18
1603462855.0,66.22
1603462856.0,66.25
1603462857.0,66.28
1603462858.0,66.33
1603462859.0,66.38
1603462860.0,66.43
1603462861.0,66.47
1603462862.0,66.48
1603462863.0,66.48
1603462864.0,66.43
1603462865.0,66.38
1603462866.0,66.30
1603462867.0,66.22
1603462868.0,66.12
1603462869.0,66.02
1603462870.0,65.92
1603462871.0,65.83
1603462872.0,65.77
1603462873.0,65.73
1603462874.0,65.70
1603462875.0,65.68
1603462876.0,65.68
1603462877.0,65.68
1603462878.0,65.73
1603462879.0,65.80
1603462880.0,65.88
1603462881.0,65.98
1603462882.0,66.10
1603462883.0,66.22
1603462884.0,66.32
1603462885.0,66.43
1603462886.0,66.55
1603462887.0,66.65
1603462888.0,66.72
1603462889.0,66.77
1603462890.0,66.83
1603462891.0,66.90
1603462892.0,66.97
1603462893.0,67.02
1603462894.0,67.07
1603462895.0,67.08
1603462896.0,67.10
1603462897.0,67.10
1603462898.0,67.10
1603462899.0,67.10
1603462900.0,67.08
1603462901.0,67.07
1603462902.0,67.03
1603462903.0,66.98
1603462904.0,66.92
1603462905.0,66.85
1603462906.0,66.78
1603462907.0,66.72
1603462908.0,66.65
1603462909.0,66.58
1603462910.0,66.53
1603462911.0,66.47
1603462912.0,66.40
1603462913.0,66.35
1603462914.0,66.30
1603462915.0,66.25
1603462916.0,66.20
1603462917.0,66.12
1603462918.0,66.03
1603462919.0,65.97
1603462920.0,65.93
1603462921.0,65.93
1603462922.0,65.88
