Time_stamp,Av_heart_rate
-2077377.0,124.00
-2077376.0,99.50
-2077375.0,85.00
-2077374.0,78.25
-2077373.0,74.60
-2077372.0,72.83
-2077371.0,72.00
-2077370.0,71.50
-2077369.0,71.33
-2077368.0,71.20
-2077367.0,71.27
-2077366.0,71.33
-2077365.0,71.38
-2077364.0,71.36
-2077363.0,71.27
-2077362.0,71.25
-2077361.0,71.24
-2077360.0,71.28
-2077359.0,71.32
-2077358.0,71.35
-2077357.0,71.38
-2077356.0,71.36
-2077355.0,71.30
-2077354.0,71.29
-2077353.0,71.28
-2077352.0,71.31
-2077351.0,71.33
-2077350.0,71.36
-2077349.0,71.34
-2077348.0,71.33
-2077347.0,71.32
-2077346.0,71.34
-2077345.0,71.36
-2077344.0,71.41
-2077343.0,71.46
-2077342.0,71.50
-2077341.0,71.51
-2077340.0,71.55
-2077339.0,71.59
-2077338.0,71.62
-2077337.0,71.66
-2077336.0,71.69
-2077335.0,71.72
-2077334.0,71.73
-2077333.0,71.73
-2077332.0,71.74
-2077331.0,71.74
-2077330.0,71.75
-2077329.0,71.76
-2077328.0,71.78
-2077327.0,71.80
-2077326.0,71.81
-2077325.0,71.81
-2077324.0,71.80
-2077323.0,71.76
-2077322.0,71.73
-2077321.0,71.70
-2077320.0,71.67
-2077319.0,71.63
-2077318.0,71.60
-2077317.0,70.70
-2077316.0,70.63
-2077315.0,70.88
-2077314.0,71.12
-2077313.0,71.32
-2077312.0,71.45
-2077311.0,71.53
-2077310.0,71.60
-2077309.0,71.63
-2077308.0,71.68
-2077307.0,71.72
