Time_stamp,temperature
-2077387.0,29.45
-2077386.75,29.45
-2077386.5,29.45
-2077386.25,29.45
-2077386.0,29.45
-2077385.75,29.45
-2077385.5,29.45
-2077385.25,29.45
-2077385.0,29.45
-2077384.75,29.45
-2077384.5,29.45
-2077384.25,29.45
-2077384.0,29.45
-2077383.75,29.45
-2077383.5,29.45
-2077383.25,29.45
-2077383.0,29.49
-2077382.75,29.49
-2077382.5,29.49
-2077382.25,29.49
-2077382.0,29.51
-2077381.75,29.51
-2077381.5,29.51
-2077381.25,29.51
-2077381.0,29.49
-2077380.75,29.49
-2077380.5,29.49
-2077380.25,29.49
-2077380.0,29.49
-2077379.75,29.49
-2077379.5,29.49
-2077379.25,29.49
-2077379.0,29.51
-2077378.75,29.51
-2077378.5,29.51
-2077378.25,29.51
-2077378.0,29.51
-2077377.75,29.51
-2077377.5,29.51
-2077377.25,29.51
-2077377.0,29.55
-2077376.75,29.55
-2077376.5,29.55
-2077376.25,29.55
-2077376.0,29.53
-2077375.75,29.53
-2077375.5,29.53
-2077375.25,29.53
-2077375.0,29.53
-2077374.75,29.53
-2077374.5,29.53
-2077374.25,29.53
-2077374.0,29.57
-2077373.75,29.57
-2077373.5,29.57
-2077373.25,29.57
-2077373.0,29.59
-2077372.75,29.59
-2077372.5,29.59
-2077372.25,29.59
-2077372.0,29.59
-2077371.75,29.59
-2077371.5,29.59
-2077371.25,29.59
-2077371.0,29.59
-2077370.75,29.59
-2077370.5,29.59
-2077370.25,29.59
-2077370.0,29.59
-2077369.75,29.59
-2077369.5,29.59
-2077369.25,29.59
-2077369.0,29.57
-2077368.75,29.57
-2077368.5,29.57
-2077368.25,29.57
-2077368.0,29.59
-2077367.75,29.59
-2077367.5,29.59
-2077367.25,29.59
-2077367.0,29.61
-2077366.75,29.61
-2077366.5,29.61
-2077366.25,29.61
-2077366.0,29.61
-2077365.75,29.61
-2077365.5,29.61
-2077365.25,29.61
-2077365.0,29.63
-2077364.75,29.63
-2077364.5,29.63
-2077364.25,29.63
-2077364.0,29.61
-2077363.75,29.61
-2077363.5,29.61
-2077363.25,29.61
-2077363.0,29.61
-2077362.75,29.61
-2077362.5,29.61
-2077362.25,29.61
-2077362.0,29.61
-2077361.75,29.61
-2077361.5,29.61
-2077361.25,29.61
-2077361.0,29.63
-2077360.75,29.63
-2077360.5,29.63
-2077360.25,29.63
-2077360.0,29.63
-2077359.75,29.63
-2077359.5,29.63
-2077359.25,29.63
-2077359.0,29.63
-2077358.75,29.63
-2077358.5,29.63
-2077358.25,29.63
-2077358.0,29.63
-2077357.75,29.63
