# timestamps [seconds],pts
14674.069603,2621
14674.098809,4535
14674.132753,6759
14674.166120,8946
14674.198993,11100
14674.232416,13291
14674.265941,15488
14674.299950,17717
14674.332404,19844
14674.368997,22242
14674.399403,24234
14674.440283,26913
14674.472352,29015
14674.506325,31241
14674.539694,33428
14674.572568,35583
14674.605956,37771
14674.639170,39947
14674.672997,42164
14674.705672,44306
14674.748077,47085
14674.777302,49000
14674.809320,51098
14674.842872,53297
14674.876150,55478
14674.909747,57680
14674.942738,59842
14674.976151,62032
14675.012644,64423
14675.042713,66394
14675.075780,68561
14675.108934,70733
14675.142326,72922
14675.176073,75133
14675.209017,77292
14675.242149,79464
14675.290885,82658
14675.313446,84136
14675.348223,86415
14675.417913,90982
14675.447055,92892
14675.479990,95051
14675.513765,97264
14675.547215,99456
14675.580725,101652
14675.613844,103823
14675.647086,106001
14675.682306,108309
14675.713760,110371
14675.747167,112560
14675.780632,114753
14675.813459,116904
14675.847294,119122
14675.880668,121309
14675.913902,123487
14675.947061,125660
14675.980707,127865
14676.013315,130002
14676.047007,132210
14676.080324,134393
14676.113679,136579
14676.147014,138764
14676.180560,140962
14676.214278,143172
14676.247782,145368
14676.280376,147504
14676.315673,149817
14676.349622,152042
14676.380430,154061
14676.413912,156255
14676.447517,158457
14676.481207,160665
14676.551291,165258
14676.569305,166439
14676.601919,168576
14676.635263,170761
14676.668559,172943
14676.702010,175136
14676.735398,177324
14676.768838,179515
14676.840310,184199
14676.856087,185233
14676.867633,185990
14676.889290,187409
14676.922798,189605
14676.956545,191817
14676.989754,193993
14677.050043,197944
14677.066927,199051
14677.101465,201314
14677.134257,203463
14677.166103,205550
14677.199627,207747
14677.233143,209943
14677.267971,212226
14677.300016,214326
14677.333949,216550
14677.386293,219980
14677.400333,220900
14677.408340,221425
14677.440441,223529
14677.467536,225304
14677.500553,227468
14677.533995,229660
14677.567947,231885
14677.600881,234043
14677.635036,236282
14677.667854,238432
14677.700794,240591
14677.734141,242776
14677.767538,244965
14677.800847,247148
14677.834141,249330
14677.867893,251542
14677.900869,253703
14677.939082,256207
14677.968295,258122
14678.000851,260255
14678.034194,262440
14678.067617,264631
14678.101772,266869
14678.135305,269067
14678.167905,271203
14678.200950,273369
14678.270622,277935
14678.289684,279184
14678.322866,281358
14678.355945,283526
14678.388749,285676
14678.423002,287921
14678.501237,293048
14678.519224,294227
14678.551332,296331
14678.584787,298523
14678.617997,300700
14678.651317,302884
14678.684777,305076
14678.766643,310441
14678.785124,311653
14678.854570,316204
14678.866713,316999
14678.872296,317365
14678.879936,317866
14678.900128,319189
14678.933397,321370
14678.966842,323561
14679.001059,325804
14679.035678,328073
14679.068104,330198
14679.100443,332317
14679.133690,334496
14679.167356,336702
14679.201327,338928
14679.234607,341109
14679.267401,343259
14679.301101,345467
14679.334123,347631
14679.367527,349820
14679.400781,352000
14679.433764,354161
14679.480904,357250
14679.500741,358551
14679.533724,360712
14679.566927,362888
14679.600398,365082
14679.633308,367238
14679.667288,369465
14679.747914,374749
14679.807875,378679
14679.823046,379673
14679.832544,380295
14679.856524,381867
14679.889627,384036
14679.923271,386241
14679.957371,388476
14679.989778,390600
14680.024959,392905
14680.056714,394986
14680.089696,397148
14680.123286,399349
14680.156649,401535
14680.189927,403716
14680.223027,405886
14680.256332,408068
14680.289853,410265
14680.323405,412464
14680.356687,414645
14680.389993,416828
14680.423334,419013
14680.456700,421199
