world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
0,767.73579,"[[ 2.48086894e-03 -2.15692583e-04 -1.10004421e+00]
 [-1.69333059e-04 -4.11393494e-03  1.39803776e+00]
 [-7.85890339e-05 -1.20387520e-04  1.07561266e+00]]","[[ 4.15584947e+02 -3.55799530e+01  4.71269958e+02]
 [-7.05542935e+00 -2.52083277e+02  3.20431946e+02]
 [ 2.95748043e-02 -3.08139500e-02  1.00000000e+00]]",6,"[[ 2.55667639e-03 -9.82424287e-05 -1.18538258e+00]
 [-1.74959779e-04 -4.28871070e-03  1.46283995e+00]
 [-6.55629093e-05  1.26525529e-04  9.90508376e-01]]","[[ 4.03667529e+02  4.79612521e+00  4.76002531e+02]
 [-7.04706293e+00 -2.23518911e+02  3.21672119e+02]
 [ 2.76194039e-02  2.88693130e-02  1.00000000e+00]]"
1,767.869831,"[[ 2.47840659e-03 -2.14544292e-04 -1.09657465e+00]
 [-1.74323669e-04 -4.11189240e-03  1.40267539e+00]
 [-7.98328356e-05 -1.16375915e-04  1.07492060e+00]]","[[ 4.16169160e+02 -3.50235629e+01  4.70255419e+02]
 [-7.37211900e+00 -2.51902782e+02  3.21190004e+02]
 [ 3.01101559e-02 -2.98733198e-02  1.00000000e+00]]",6,"[[ 2.55538600e-03 -9.68580252e-05 -1.18267322e+00]
 [-1.80295287e-04 -4.28643729e-03  1.46767816e+00]
 [-6.53631319e-05  1.29993011e-04  9.89137596e-01]]","[[ 4.03853646e+02  5.28060560e+00  4.75036705e+02]
 [-7.51117204e+00 -2.23346366e+02  3.22419574e+02]
 [ 2.76741468e-02  2.97012504e-02  1.00000000e+00]]"
2,767.936852,"[[ 2.47983907e-03 -2.14926529e-04 -1.09640637e+00]
 [-1.74561352e-04 -4.11306017e-03  1.40430129e+00]
 [-7.85302806e-05 -1.15329593e-04  1.07398443e+00]]","[[ 4.15678731e+02 -3.48996081e+01  4.69990401e+02]
 [-7.54070041e+00 -2.51748141e+02  3.21478187e+02]
 [ 2.95848810e-02 -2.95857982e-02  1.00000000e+00]]",6,"[[ 2.55724173e-03 -9.70899415e-05 -1.18279343e+00]
 [-1.80571324e-04 -4.28739370e-03  1.46928873e+00]
 [-6.35086186e-05  1.30877800e-04  9.87917826e-01]]","[[ 4.03216015e+02  5.36218858e+00  4.74779014e+02]
 [-7.74736108e+00 -2.23215581e+02  3.22703569e+02]
 [ 2.69472308e-02  2.99159592e-02  1.00000000e+00]]"
3,767.970362,"[[ 2.48095966e-03 -2.16384059e-04 -1.09624139e+00]
 [-1.77006914e-04 -4.11894766e-03  1.40779798e+00]
 [-7.74945502e-05 -1.16718134e-04  1.07395111e+00]]","[[ 4.15241431e+02 -3.51300147e+01  4.69910409e+02]
 [-7.89686756e+00 -2.51478520e+02  3.21591993e+02]
 [ 2.91049005e-02 -2.98658736e-02  1.00000000e+00]]",5,"[[ 2.55896398e-03 -9.88593073e-05 -1.18286972e+00]
 [-1.83264971e-04 -4.29466634e-03  1.47339078e+00]
 [-6.19223892e-05  1.28861662e-04  9.87796848e-01]]","[[ 4.02626804e+02  4.97579741e+00  4.74716805e+02]
 [-8.15702850e+00 -2.22973050e+02  3.22817120e+02]
 [ 2.63037303e-02  2.93995584e-02  1.00000000e+00]]"
4,768.037383,"[[ 2.47800122e-03 -2.19597263e-04 -1.09340315e+00]
 [-1.76927815e-04 -4.11488462e-03  1.40753257e+00]
 [-8.11068795e-05 -1.19459773e-04  1.07655067e+00]]","[[ 4.16366646e+02 -3.58579227e+01  4.69766829e+02]
 [-7.45550979e+00 -2.51966273e+02  3.21860241e+02]
 [ 3.05415868e-02 -3.06610350e-02  1.00000000e+00]]",6,"[[ 2.55616943e-03 -1.02027381e-04 -1.18013207e+00]
 [-1.83104945e-04 -4.28973714e-03  1.47281459e+00]
 [-6.52662180e-05  1.26029273e-04  9.90256512e-01]]","[[ 4.03638685e+02  4.34249905e+00  4.74575278e+02]
 [-7.75637358e+00 -2.23438263e+02  3.23077491e+02]
 [ 2.75903266e-02  2.87230430e-02  1.00000000e+00]]"
5,768.137914,"[[ 2.47924484e-03 -2.19779399e-04 -1.09358096e+00]
 [-1.78826244e-04 -4.11379941e-03  1.41007041e+00]
 [-8.02321309e-05 -1.19493393e-04  1.07620125e+00]]","[[ 4.15960929e+02 -3.58651652e+01  4.69669925e+02]
 [-7.74729761e+00 -2.52033663e+02  3.22349481e+02]
 [ 3.01501980e-02 -3.06577381e-02  1.00000000e+00]]",6,"[[ 2.55717852e-03 -1.02439307e-04 -1.18017414e+00]
 [-1.85057116e-04 -4.28779838e-03  1.47515621e+00]
 [-6.44980685e-05  1.25484910e-04  9.90001134e-01]]","[[ 4.03330949e+02  4.24987417e+00  4.74475747e+02]
 [-8.01757568e+00 -2.23559264e+02  3.23557913e+02]
 [ 2.72930515e-02  2.86135257e-02  1.00000000e+00]]"
6,768.204935,"[[ 2.48286090e-03 -2.19348141e-04 -1.09571082e+00]
 [-1.79625915e-04 -4.11864529e-03  1.41118859e+00]
 [-7.60182982e-05 -1.17045572e-04  1.07341688e+00]]","[[ 4.14581026e+02 -3.54296227e+01  4.69769764e+02]
 [-8.33256709e+00 -2.51509411e+02  3.22146161e+02]
 [ 2.84516245e-02 -2.99337221e-02  1.00000000e+00]]",5,"[[ 2.56088240e-03 -1.02225948e-04 -1.18228597e+00]
 [-1.86030705e-04 -4.29376042e-03  1.47673014e+00]
 [-6.02998399e-05  1.27824267e-04  9.87283408e-01]]","[[ 4.01996155e+02  4.55738700e+00  4.74579417e+02]
 [-8.59009301e+00 -2.23065127e+02  3.23363127e+02]
 [ 2.56646936e-02  2.91587460e-02  1.00000000e+00]]"
7,768.238446,"[[ 2.48098395e-03 -2.19885618e-04 -1.09452841e+00]
 [-1.81325371e-04 -4.11552187e-03  1.41141110e+00]
 [-7.79784958e-05 -1.16631196e-04  1.07421337e+00]]","[[ 4.15235309e+02 -3.54971232e+01  4.69727794e+02]
 [-8.26526804e+00 -2.51673378e+02  3.22252578e+02]
 [ 2.92450620e-02 -2.99018614e-02  1.00000000e+00]]",5,"[[ 2.55915199e-03 -1.02893387e-04 -1.18114052e+00]
 [-1.87843881e-04 -4.29071796e-03  1.47705197e+00]
 [-6.20619821e-05  1.28057826e-04  9.88028295e-01]]","[[ 4.02593462e+02  4.50845799e+00  4.74541292e+02]
 [-8.53881068e+00 -2.23202444e+02  3.23468544e+02]
 [ 2.63952054e-02  2.92123453e-02  1.00000000e+00]]"
8,768.305466,"[[ 2.47869889e-03 -2.19786385e-04 -1.09306444e+00]
 [-1.78251609e-04 -4.11159720e-03  1.41060885e+00]
 [-8.03940117e-05 -1.18391919e-04  1.07596059e+00]]","[[ 4.16096474e+02 -3.57644607e+01  4.69598912e+02]
 [-7.66204224e+00 -2.52097565e+02  3.22721810e+02]
 [ 3.02469636e-02 -3.04114882e-02  1.00000000e+00]]",6,"[[ 2.55666025e-03 -1.02686261e-04 -1.17963246e+00]
 [-1.84494584e-04 -4.28494621e-03  1.47553548e+00]
 [-6.45676434e-05  1.26067993e-04  9.89794449e-01]]","[[ 4.03425802e+02  4.28970203e+00  4.74406138e+02]
 [-7.95872941e+00 -2.23654129e+02  3.23927081e+02]
 [ 2.73305173e-02  2.87661777e-02  1.00000000e+00]]"
9,768.372487,"[[ 2.47885890e-03 -2.18875330e-04 -1.09437587e+00]
 [-1.76236591e-04 -4.11243433e-03  1.41127609e+00]
 [-7.97607547e-05 -1.16008669e-04  1.07496246e+00]]","[[ 4.16017732e+02 -3.54001588e+01  4.70006337e+02]
 [-7.51347503e+00 -2.51877550e+02  3.23031000e+02]
 [ 3.00571056e-02 -2.98089691e-02  1.00000000e+00]]",6,"[[ 2.55622323e-03 -1.02145015e-04 -1.18053064e+00]
 [-1.82282543e-04 -4.28456858e-03  1.47572849e+00]
 [-6.45016429e-05  1.27987880e-04  9.89126766e-01]]","[[ 4.03507781e+02  4.56289775e+00  4.74782117e+02]
 [-7.75810317e+00 -2.23525443e+02  3.24229611e+02]
 [ 2.73168808e-02  2.92205842e-02  1.00000000e+00]]"
10,768.439508,"[[ 2.47812952e-03 -2.13376185e-04 -1.09655805e+00]
 [-1.73568272e-04 -4.11033159e-03  1.40876806e+00]
 [-7.91226802e-05 -1.12160843e-04  1.07342541e+00]]","[[ 4.16134060e+02 -3.44356205e+01  4.70295328e+02]
 [-7.32146264e+00 -2.51719875e+02  3.22878990e+02]
 [ 2.99084226e-02 -2.88401520e-02  1.00000000e+00]]",6,"[[ 2.55476440e-03 -9.69548986e-05 -1.18223762e+00]
 [-1.79430839e-04 -4.28205678e-03  1.47296916e+00]
 [-6.47569294e-05  1.31590216e-04  9.88117467e-01]]","[[ 4.03850150e+02  5.45476327e+00  4.75057024e+02]
 [-7.47590267e+00 -2.23404185e+02  3.24080074e+02]
 [ 2.74621715e-02  3.01088076e-02  1.00000000e+00]]"
11,768.473018,"[[ 2.47971722e-03 -2.14805533e-04 -1.09734847e+00]
 [-1.73185431e-04 -4.11352510e-03  1.40931648e+00]
 [-7.86074173e-05 -1.14551430e-04  1.07396103e+00]]","[[ 4.15755126e+02 -3.48124850e+01  4.70491985e+02]
 [-7.34662621e+00 -2.51705959e+02  3.22797137e+02]
 [ 2.96471373e-02 -2.93956633e-02  1.00000000e+00]]",6,"[[ 2.55619912e-03 -9.83437490e-05 -1.18294835e+00]
 [-1.79010702e-04 -4.28522600e-03  1.47348200e+00]
 [-6.43870287e-05  1.29402520e-04  9.88673101e-01]]","[[ 4.03532951e+02  5.09016108e+00  4.75241391e+02]
 [-7.48393303e+00 -2.23404255e+02  3.23998946e+02]
 [ 2.72594930e-02  2.95717705e-02  1.00000000e+00]]"
12,768.540039,"[[ 2.47960363e-03 -2.14610170e-04 -1.09634627e+00]
 [-1.75960892e-04 -4.11200413e-03  1.41192763e+00]
 [-7.84531468e-05 -1.14756195e-04  1.07397755e+00]]","[[ 4.15694044e+02 -3.48155555e+01  4.70123103e+02]
 [-7.64203835e+00 -2.51812698e+02  3.23249760e+02]
 [ 2.95495326e-02 -2.94498307e-02  1.00000000e+00]]",6,"[[ 2.55634043e-03 -9.80086429e-05 -1.18216298e+00]
 [-1.81882686e-04 -4.28320955e-03  1.47602800e+00]
 [-6.38087635e-05  1.29011665e-04  9.88444796e-01]]","[[ 4.03398680e+02  5.07302176e+00  4.74882426e+02]
 [-7.80488398e+00 -2.23518877e+02  3.24442476e+02]
 [ 2.70599756e-02  2.95011374e-02  1.00000000e+00]]"
13,768.60706,"[[ 2.47687306e-03 -2.16129945e-04 -1.09422707e+00]
 [-1.76258629e-04 -4.11368102e-03  1.41495519e+00]
 [-8.16118333e-05 -1.14401793e-04  1.07540637e+00]]","[[ 4.16733988e+02 -3.49666029e+01  4.70034214e+02]
 [-7.24273042e+00 -2.51716320e+02  3.23823747e+02]
 [ 3.08551672e-02 -2.94311877e-02  1.00000000e+00]]",6,"[[ 2.55392440e-03 -1.00128640e-04 -1.18006501e+00]
 [-1.82330029e-04 -4.28450012e-03  1.47908719e+00]
 [-6.66091670e-05  1.28083455e-04  9.89997419e-01]]","[[ 4.04276459e+02  4.74608742e+00  4.74801870e+02]
 [-7.48005563e+00 -2.23508523e+02  3.25012607e+02]
 [ 2.81683457e-02  2.92363155e-02  1.00000000e+00]]"
14,768.674081,"[[ 2.47710729e-03 -2.15785120e-04 -1.09476362e+00]
 [-1.78828205e-04 -4.11352255e-03  1.41561984e+00]
 [-8.07270648e-05 -1.14171580e-04  1.07491111e+00]]","[[ 4.16499193e+02 -3.48976199e+01  4.70150437e+02]
 [-7.62063685e+00 -2.51685219e+02  3.23699133e+02]
 [ 3.04701449e-02 -2.93535728e-02  1.00000000e+00]]",6,"[[ 2.55388317e-03 -9.96485208e-05 -1.18048276e+00]
 [-1.84842773e-04 -4.28435669e-03  1.47969478e+00]
 [-6.59368877e-05  1.28834909e-04  9.89457703e-01]]","[[ 4.04175098e+02  4.88034524e+00  4.74906924e+02]
 [-7.78525054e+00 -2.23456658e+02  3.24882303e+02]
 [ 2.79476930e-02  2.94209778e-02  1.00000000e+00]]"
15,768.707591,"[[ 2.47712539e-03 -2.15928726e-04 -1.09415892e+00]
 [-1.78186570e-04 -4.11159965e-03  1.41358256e+00]
 [-8.00073312e-05 -1.12782439e-04  1.07407364e+00]]","[[ 4.16370653e+02 -3.47559960e+01  4.69899006e+02]
 [-7.65776066e+00 -2.51684218e+02  3.23439289e+02]
 [ 3.02111910e-02 -2.90169067e-02  1.00000000e+00]]",6,"[[ 2.55438019e-03 -9.94802222e-05 -1.18020766e+00]
 [-1.84220158e-04 -4.28317629e-03  1.47787891e+00]
 [-6.48019493e-05  1.30600840e-04  9.88363353e-01]]","[[ 4.03893713e+02  5.09285103e+00  4.74675469e+02]
 [-7.87531219e+00 -2.23390296e+02  3.24626872e+02]
 [ 2.75218847e-02  2.98523685e-02  1.00000000e+00]]"
16,768.774612,"[[ 2.47881675e-03 -2.17222349e-04 -1.09492357e+00]
 [-1.77320929e-04 -4.11148354e-03  1.41273571e+00]
 [-7.81714587e-05 -1.14046014e-04  1.07361929e+00]]","[[ 4.15737650e+02 -3.50030440e+01  4.70046510e+02]
 [-7.81412758e+00 -2.51777164e+02  3.23335022e+02]
 [ 2.94402761e-02 -2.92938299e-02  1.00000000e+00]]",6,"[[ 2.55588421e-03 -1.00694603e-04 -1.18089268e+00]
 [-1.83296865e-04 -4.28293140e-03  1.47695159e+00]
 [-6.31681391e-05  1.29674272e-04  9.87910560e-01]]","[[ 4.03339885e+02  4.89315844e+00  4.74814399e+02]
 [-8.00579615e+00 -2.23471073e+02  3.24525299e+02]
 [ 2.68408668e-02  2.96459433e-02  1.00000000e+00]]"
17,768.841633,"[[ 2.47740313e-03 -2.16546109e-04 -1.09475102e+00]
 [-1.80372620e-04 -4.10957037e-03  1.41567574e+00]
 [-7.97451176e-05 -1.13163053e-04  1.07414357e+00]]","[[ 4.16244209e+02 -3.48808943e+01  4.70201398e+02]
 [-7.91114477e+00 -2.51835127e+02  3.23845114e+02]
 [ 3.00687870e-02 -2.91208864e-02  1.00000000e+00]]",6,"[[ 2.55394959e-03 -1.00410718e-04 -1.18036192e+00]
 [-1.86424417e-04 -4.27987100e-03  1.47960824e+00]
 [-6.50870827e-05  1.30050339e-04  9.88643460e-01]]","[[ 4.04016013e+02  4.95338500e+00  4.74949832e+02]
 [-8.03740389e+00 -2.23586954e+02  3.25025215e+02]
 [ 2.76555623e-02  2.97376776e-02  1.00000000e+00]]"
18,768.908654,"[[ 2.47744130e-03 -2.20179783e-04 -1.09280739e+00]
 [-1.82035452e-04 -4.11408238e-03  1.41891250e+00]
 [-8.10979541e-05 -1.16177810e-04  1.07576170e+00]]","[[ 4.16411946e+02 -3.55555070e+01  4.69907232e+02]
 [-7.89211233e+00 -2.51797463e+02  3.24099667e+02]
 [ 3.05395409e-02 -2.98734901e-02  1.00000000e+00]]",6,"[[ 2.55479957e-03 -1.04132266e-04 -1.17883460e+00]
 [-1.88305229e-04 -4.28500969e-03  1.48320571e+00]
 [-6.55719529e-05  1.26500563e-04  9.89977639e-01]]","[[ 4.03912694e+02  4.19757801e+00  4.74677780e+02]
 [-8.12999740e+00 -2.23571372e+02  3.25278472e+02]
 [ 2.77923382e-02  2.88462554e-02  1.00000000e+00]]"
19,768.975674,"[[ 2.47610477e-03 -2.17370343e-04 -1.09376425e+00]
 [-1.81711933e-04 -4.11136793e-03  1.41829702e+00]
 [-8.15721728e-05 -1.13213433e-04  1.07505670e+00]]","[[ 4.16782603e+02 -3.49829320e+01  4.70187383e+02]
 [-7.79447974e+00 -2.51743027e+02  3.24188538e+02]
 [ 3.08034195e-02 -2.91652765e-02  1.00000000e+00]]",6,"[[ 2.55278637e-03 -1.01600124e-04 -1.17935662e+00]
 [-1.87830181e-04 -4.28149158e-03  1.48224569e+00]
 [-6.67377008e-05  1.29237211e-04  9.89647243e-01]]","[[ 4.04493715e+02  4.73735913e+00  4.74937322e+02]
 [-7.94277151e+00 -2.23553875e+02  3.25362810e+02]
 [ 2.83146165e-02  2.95131826e-02  1.00000000e+00]]"
20,769.042695,"[[ 2.47706658e-03 -2.20132044e-04 -1.09286266e+00]
 [-1.81782285e-04 -4.11430893e-03  1.42045519e+00]
 [-8.06408751e-05 -1.15574155e-04  1.07540503e+00]]","[[ 4.16401153e+02 -3.54825934e+01  4.70028215e+02]
 [-7.91119216e+00 -2.51745810e+02  3.24480346e+02]
 [ 3.03742527e-02 -2.97159264e-02  1.00000000e+00]]",6,"[[ 2.55409510e-03 -1.04483954e-04 -1.17863021e+00]
 [-1.87925569e-04 -4.28446028e-03  1.48446075e+00]
 [-6.54378827e-05  1.26439788e-04  9.89894010e-01]]","[[ 4.03998592e+02  4.15940600e+00  4.74788680e+02]
 [-8.10818575e+00 -2.23593546e+02  3.25650310e+02]
 [ 2.77423739e-02  2.88347065e-02  1.00000000e+00]]"
21,769.076206,"[[ 2.47749270e-03 -2.20508380e-04 -1.09299740e+00]
 [-1.81773611e-04 -4.11513118e-03  1.42001853e+00]
 [-8.01545380e-05 -1.15324896e-04  1.07507653e+00]]","[[ 4.16238078e+02 -3.54765907e+01  4.70035887e+02]
 [-7.97237924e+00 -2.51667080e+02  3.24310054e+02]
 [ 3.01782767e-02 -2.96416940e-02  1.00000000e+00]]",6,"[[ 2.55457225e-03 -1.04737811e-04 -1.17881736e+00]
 [-1.87951506e-04 -4.28553711e-03  1.48411224e+00]
 [-6.49268429e-05  1.26999623e-04  9.89490861e-01]]","[[ 4.03831499e+02  4.20083647e+00  4.74798794e+02]
 [-8.17126915e+00 -2.23497734e+02  3.25483844e+02]
 [ 2.75467450e-02  2.89612327e-02  1.00000000e+00]]"
