# timestamps [seconds],pts
767.735790,0
767.869831,8784
767.936852,13176
767.970362,15372
768.037383,19764
768.137914,26353
768.204935,30745
768.238446,32941
768.305466,37333
768.372487,41725
768.439508,46118
768.473018,48314
768.540039,52706
768.607060,57098
768.674081,61490
768.707591,63686
768.774612,68079
768.841633,72471
768.908654,76863
768.975674,81255
769.042695,85648
769.076206,87844
769.143226,92236
769.210247,96628
769.277268,101020
769.344289,105412
769.411310,109805
769.444820,112001
769.511841,116393
769.578862,120785
769.645882,125177
769.712903,129570
769.779924,133962
769.846945,138354
769.913966,142746
769.980986,147138
770.048007,151531
770.115028,155923
770.182049,160315
770.249070,164707
770.316090,169099
770.383111,173492
770.450132,177884
770.517153,182276
770.550663,184472
770.617684,188864
770.684705,193257
770.718215,195453
770.785236,199845
770.852257,204237
770.919278,208629
770.986298,213022
771.053319,217414
771.086830,219610
771.153850,224002
771.220871,228394
771.254382,230590
771.321402,234983
771.388423,239375
771.455444,243767
771.488954,245963
771.555975,250355
771.622996,254748
771.690017,259140
771.723527,261336
771.790548,265728
771.857569,270120
771.924590,274513
771.991610,278905
772.025121,281101
772.092142,285493
772.159162,289885
772.192673,292081
772.259694,296474
772.326714,300866
772.393735,305258
772.460756,309650
772.527777,314042
772.594798,318435
772.661818,322827
772.695329,325023
772.762350,329415
772.829370,333807
772.896391,338199
772.963412,342592
773.030433,346984
773.097454,351376
773.130964,353572
773.197985,357964
773.265006,362357
773.332026,366749
773.399047,371141
773.432558,373337
773.499578,377729
773.566599,382122
773.633620,386514
773.667130,388710
773.734151,393102
773.801172,397494
773.834682,399690
773.901703,404083
773.968724,408475
774.035745,412867
774.102766,417259
774.136276,419455
774.203297,423848
774.270318,428240
774.337338,432632
774.370849,434828
774.437870,439220
774.504890,443612
774.571911,448005
774.638932,452397
774.672442,454593
774.739463,458985
774.806484,463377
774.839994,465574
774.907015,469966
774.974036,474358
775.041057,478750
775.108078,483142
775.175098,487535
775.208609,489731
775.275630,494123
775.342650,498515
775.409671,502907
775.476692,507300
775.543713,511692
775.610734,516084
775.644244,518280
775.711265,522672
775.778286,527064
775.845306,531457
775.912327,535849
775.979348,540241
776.046369,544633
776.079879,546829
776.146900,551222
776.213921,555614
776.280942,560006
776.347962,564398
776.414983,568790
776.448494,570987
776.515514,575379
776.582535,579771
776.649556,584163
776.716577,588555
776.783598,592948
776.850618,597340
776.884129,599536
776.951150,603928
777.018170,608320
777.051681,610516
777.118702,614909
777.185722,619301
777.252743,623693
777.319764,628085
777.386785,632477
777.420295,634674
777.487316,639066
777.554337,643458
777.621358,647850
777.688378,652242
777.755399,656635
777.822420,661027
777.855930,663223
777.922951,667615
777.956462,669811
778.023482,674203
778.090503,678596
778.157524,682988
778.224545,687380
778.258055,689576
778.325076,693968
778.392097,698361
778.459118,702753
778.526138,707145
778.593159,711537
778.660180,715929
778.727201,720322
778.827732,726910
778.894753,731302
778.961774,735694
778.995284,737890
779.062305,742283
779.129326,746675
779.162836,748871
779.229857,753263
779.296878,757655
779.363898,762048
779.430919,766440
779.464430,768636
779.531450,773028
779.598471,777420
779.665492,781813
779.732513,786205
779.799534,790597
779.866554,794989
779.933575,799381
779.967086,801577
780.034106,805970
780.101127,810362
780.168148,814754
780.235169,819146
780.302190,823539
780.369210,827931
780.436231,832323
780.503252,836715
780.570273,841107
780.603783,843303
780.670804,847696
780.737825,852088
780.804846,856480
780.871866,860872
780.938887,865264
780.972398,867461
781.039418,871853
781.106439,876245
781.173460,880637
781.240481,885029
781.307502,889422
781.341012,891618
781.408033,896010
781.475054,900402
781.542074,904794
781.609095,909187
781.676116,913579
781.743137,917971
781.810158,922363
781.877178,926755
781.944199,931148
782.011220,935540
782.044730,937736
782.111751,942128
782.178772,946520
782.245793,950913
782.312814,955305
782.379834,959697
782.446855,964089
782.513876,968481
782.580897,972874
782.647918,977266
782.714938,981658
782.781959,986050
782.848980,990442
