# timestamps [seconds],pts
92324.713472,524
92324.737965,2129
92324.744715,2572
92324.756220,3326
92324.763029,3772
92324.773567,4463
92324.779260,4836
92324.791719,5652
92324.795535,5902
92324.800328,6216
92324.811480,6947
92324.816383,7269
92324.826001,7899
92324.832198,8305
92324.840371,8841
92324.849520,9440
92324.861994,10258
92324.873482,11011
92324.880792,11490
92324.892737,12272
92324.897344,12574
92324.904286,13029
92324.912329,13556
92324.920319,14080
92324.929366,14673
92324.937059,15177
92324.944162,15643
92324.952303,16176
92324.960387,16706
92324.968262,17222
92324.976834,17784
92324.984937,18315
92324.996233,19055
92325.004288,19583
92325.012236,20104
92325.020290,20632
92325.028281,21155
92325.036226,21676
92325.044869,22242
92325.053110,22782
92325.060356,23257
92325.068332,23780
92325.077089,24354
92325.084257,24824
92325.092852,25387
92325.103564,26089
92325.109029,26447
92325.116199,26917
92325.124204,27442
92325.132241,27968
92325.140364,28501
92325.150508,29165
92325.156599,29565
92325.164270,30067
92325.174299,30725
92325.180416,31125
92325.192539,31920
92325.197483,32244
92325.204918,32731
92325.213727,33308
92325.220361,33743
92325.228762,34294
92325.240880,35088
92325.245030,35360
92325.252237,35832
92325.260459,36371
92325.269197,36944
92325.278968,37584
92325.284556,37950
92325.293103,38510
92325.302323,39115
92325.309732,39600
92325.316489,40043
92325.325206,40614
92325.332212,41073
92325.340737,41632
92325.348518,42142
92325.362897,43084
92325.372079,43686
92325.376940,44005
92325.381778,44322
92325.392504,45025
92325.400462,45546
92325.406652,45952
92325.414209,46447
92325.420533,46862
92325.428953,47413
92325.436312,47896
92325.444741,48448
92325.452415,48951
92325.464218,49724
92325.473621,50341
92325.481119,50832
92325.490629,51455
92325.496533,51842
92325.504422,52359
92325.513446,52951
92325.520232,53395
92325.528216,53919
92325.536157,54439
92325.544215,54967
92325.553057,55546
92325.561981,56131
92325.568203,56539
92325.576281,57068
92325.584160,57585
92325.592297,58118
92325.604354,58908
92325.612633,59451
92325.622936,60126
92325.633349,60808
92325.646482,61669
92325.652064,62035
92325.663444,62781
92325.668144,63089
92325.674659,63516
92325.686097,64265
92325.694511,64817
92325.706874,65627
92325.717192,66303
92325.735267,67488
92325.760532,69143
92325.779060,70358
92325.784797,70734
92325.794618,71377
92325.800415,71757
92325.821753,73155
92325.827031,73501
92325.835411,74051
92325.844174,74625
92325.858730,75579
92325.866587,76094
92325.877260,76793
92325.899576,78256
92325.906590,78715
92325.913386,79161
92325.921407,79686
92325.932515,80414
92325.940990,80970
92325.948593,81468
92325.959560,82187
92325.965787,82595
92325.973076,83072
92325.983123,83731
92325.988442,84079
92325.996272,84593
92326.004732,85147
92326.012261,85640
92326.020493,86180
92326.031958,86931
92326.036301,87216
92326.044660,87764
92326.053175,88322
92326.063861,89022
92326.073878,89678
92326.078525,89983
92326.084368,90366
92326.093931,90993
92326.100311,91411
92326.110513,92079
92326.116189,92451
92326.124337,92985
92326.135004,93684
92326.141318,94098
92326.148252,94553
92326.157424,95154
92326.164333,95606
92326.174457,96270
92326.182282,96783
92326.190169,97300
92326.196297,97701
92326.204254,98223
92326.212328,98752
92326.220716,99302
92326.234285,100191
92326.240184,100577
92326.250469,101251
92326.255053,101552
92326.262334,102029
92326.273127,102736
92326.277044,102993
92326.284231,103464
92326.292897,104032
92326.300476,104529
92326.310476,105184
92326.319542,105778
92326.327497,106299
92326.333077,106665
92326.340327,107140
92326.350293,107793
92326.357931,108294
92326.367644,108930
92326.372568,109253
92326.380402,109767
92326.393380,110617
92326.401564,111153
92326.408933,111636
92326.416183,112111
92326.424344,112646
92326.435860,113401
92326.441482,113769
92326.448343,114219
92326.456274,114739
92326.465580,115349
92326.474807,115953
92326.480867,116351
92326.493455,117175
92326.497477,117439
92326.504239,117882
92326.513970,118520
92326.520629,118956
92326.528577,119477
92326.536706,120010
92326.544263,120505
92326.552283,121031
92326.560900,121595
92326.568761,122111
92326.577559,122687
92326.587061,123310
92326.596508,123929
92326.607894,124675
92326.615049,125144
92326.629111,126066
92326.636431,126545
92326.648912,127363
92326.658009,127960
92326.670517,128779
92326.677663,129248
92326.685078,129733
92326.695499,130416
92326.700931,130772
92326.708771,131286
92326.717967,131889
92326.728806,132599
92326.737537,133171
92326.744871,133652
92326.752352,134142
92326.765484,135003
92326.773558,135532
92326.791904,136734
92326.800172,137276
92326.812318,138072
92326.817890,138437
92326.828550,139136
92326.832730,139410
92326.841111,139959
92326.851280,140626
92326.857600,141040
92326.876880,142303
92326.884221,142784
92326.895058,143495
92326.902907,144009
92326.912237,144620
92326.939623,146415
92326.953864,147348
92326.961549,147852
92326.971055,148475
92326.993007,149914
92327.000433,150400
92327.014325,151311
92327.020613,151723
92327.032190,152481
92327.036656,152774
92327.044421,153283
92327.061543,154405
92327.068447,154858
92327.078866,155540
92327.084463,155907
92327.093018,156468
92327.102643,157099
92327.108885,157508
92327.116941,158036
92327.127859,158751
92327.138224,159430
92327.149407,160163
92327.156449,160625
92327.165704,161231
92327.172934,161705
92327.181921,162294
92327.190831,162878
92327.207551,163974
92327.215131,164471
92327.228024,165315
92327.235472,165804
92327.244375,166387
92327.272073,168202
92327.281616,168828
92327.293232,169589
92327.316145,171090
92327.325520,171705
92327.330445,172028
92327.336205,172405
92327.346375,173072
