# timestamps [seconds],pts
109711.345011,3670
109711.359814,4640
109711.364839,4970
109711.372623,5480
109711.380513,5997
109711.388972,6551
109711.396534,7047
109711.404484,7568
109711.412507,8094
109711.420958,8648
109711.428483,9141
109711.437206,9712
109711.464259,11485
109711.471041,11930
109711.480557,12553
109711.488690,13086
109711.496536,13601
109711.504577,14128
109711.512531,14649
109711.521357,15227
109711.528511,15696
109711.536653,16230
109711.544528,16746
109711.552637,17277
109711.560465,17790
109711.568549,18320
109711.576568,18845
109711.584846,19388
109711.594931,20049
109711.600607,20421
109711.609167,20982
109711.617965,21558
109711.628399,22242
109711.636750,22789
109711.648227,23542
109711.657191,24129
109711.667061,24776
109711.673285,25184
109711.680603,25663
109711.689119,26221
109711.696518,26706
109711.704793,27249
109711.725423,28601
109711.730368,28925
109711.736803,29346
109711.744632,29860
109711.752677,30387
109711.762326,31019
109711.768947,31453
109711.778354,32070
109711.787034,32638
109711.792810,33017
109711.800527,33523
109711.811232,34224
109711.816633,34578
109711.826392,35218
109711.832621,35626
109711.840708,36156
109711.848669,36678
109711.856647,37200
109711.867199,37892
109711.872813,38260
109711.883282,38946
109711.891349,39475
109711.896589,39818
109711.905157,40380
109711.913015,40895
109711.921507,41451
109711.928901,41936
109711.942675,42838
109711.951552,43420
109711.959136,43917
109711.965197,44314
109711.975645,44999
109711.981295,45369
109711.994676,46246
109712.001134,46669
109712.009260,47202
109712.013546,47483
109712.020649,47948
109712.029364,48519
109712.036851,49010
109712.044601,49518
109712.053687,50113
109712.060538,50562
109712.068623,51092
109712.078363,51731
109712.084562,52137
109712.092905,52684
109712.100655,53192
109712.108667,53717
109712.116597,54236
109712.124568,54759
109712.132623,55287
109712.140553,55806
109712.148654,56337
109712.156900,56878
109712.164707,57389
109712.172739,57916
109712.180726,58439
109712.188714,58962
109712.196521,59474
109712.204547,60000
109712.212957,60551
109712.220964,61076
109712.228536,61572
109712.237078,62132
109712.244476,62617
109712.252566,63147
109712.260988,63699
109712.268481,64190
109712.276567,64720
109712.284821,65261
109712.305141,66592
109712.321565,67669
109712.324711,67875
109712.337982,68745
109712.342813,69061
109712.355332,69882
109712.361073,70258
109712.372346,70997
109712.375585,71209
109712.381710,71610
109712.388691,72068
109712.396479,72578
109712.404816,73125
109712.412906,73655
109712.421945,74247
109712.433965,75035
109712.443061,75631
109712.452191,76229
109712.458175,76622
109712.465088,77075
109712.475368,77748
109712.480569,78089
109712.488735,78624
109712.497138,79175
109712.505142,79700
109712.513559,80251
109712.521325,80760
109712.528589,81236
109712.537349,81810
109712.544960,82309
109712.552588,82809
109712.560556,83331
109712.568546,83855
109712.576702,84389
109712.584481,84899
109712.592544,85427
109712.600798,85968
109712.608535,86475
109712.617252,87047
109712.627333,87707
109712.637985,88405
109712.641507,88636
109712.648908,89121
109712.657966,89715
109712.664586,90149
109712.672612,90675
109712.680664,91202
109712.688601,91723
109712.696708,92254
109712.705784,92849
109712.723513,94011
109712.739278,95044
109712.744921,95413
109712.753497,95976
109712.761577,96505
109712.771397,97149
109712.778039,97584
109712.784872,98032
109712.792872,98556
109712.802785,99206
109712.809797,99665
109712.816631,100113
109712.824725,100643
109712.832529,101155
109712.840554,101681
109712.848508,102202
109712.856760,102743
109712.864683,103262
109712.874527,103907
109712.880680,104310
109712.888583,104828
109712.896919,105375
109712.908690,106146
109712.916600,106664
109712.924612,107190
109712.932893,107732
109712.941820,108317
109712.948676,108767
109712.956876,109304
109712.964588,109809
109712.973239,110376
109712.980537,110855
109712.989105,111416
109712.996998,111933
109713.006876,112581
109713.012572,112954
109713.020865,113497
109713.028669,114009
109713.037491,114587
109713.044524,115048
109713.052629,115579
109713.077314,117197
109713.083439,117598
109713.087434,117860
109713.093352,118248
109713.106215,119091
109713.109781,119325
109713.117823,119852
109713.126857,120444
109713.134283,120930
109713.141191,121383
109713.148856,121885
109713.156607,122393
109713.166517,123043
109713.173048,123471
109713.182149,124067
109713.189161,124527
109713.196581,125013
109713.204668,125543
109713.212741,126072
109713.221118,126621
109713.231113,127276
109713.240999,127924
109713.252378,128670
109713.258183,129050
109713.263343,129388
109713.271136,129899
109713.276648,130260
109713.284627,130783
109713.292827,131320
109713.300589,131829
109713.308524,132349
109713.316860,132896
109713.324577,133401
109713.333218,133968
109713.341548,134513
109713.356108,135468
109713.359770,135708
109713.372445,136538
109713.378726,136950
109713.386651,137469
109713.392950,137882
109713.400756,138394
109713.408679,138913
109713.416638,139434
109713.424576,139955
109713.432857,140497
109713.440605,141005
109713.448675,141534
109713.456486,142046
109713.464530,142573
109713.472641,143105
109713.480522,143621
109713.488695,144157
109713.496593,144674
109713.504565,145197
109713.512578,145722
109713.521118,146282
109713.529937,146860
109713.536741,147305
109713.555214,148516
109713.562016,148962
109713.568587,149392
109713.576488,149910
109713.584555,150439
109713.592743,150975
109713.600456,151481
109713.608467,152006
109713.616748,152549
109713.626355,153178
109713.633539,153649
109713.641016,154139
109713.648476,154628
109713.659220,155332
109713.664909,155705
109713.673388,156261
109713.680563,156731
109713.688600,157257
109713.696804,157795
109713.704718,158314
109713.718388,159210
109713.728956,159902
109713.736618,160404
109713.744595,160927
109713.753234,161493
109713.760537,161972
109713.768801,162513
109713.776519,163019
109713.786368,163665
109713.792726,164081
109713.804255,164837
109713.810451,165243
109713.821168,165945
109713.828495,166425
109713.843703,167422
109713.848614,167744
109713.857177,168305
109713.864012,168753
109713.873106,169349
109713.878600,169709
109713.889083,170396
109713.897811,170968
109713.901232,171192
109713.908678,171680
109713.916555,172197
109713.924623,172725
109713.932831,173263
109713.940586,173771
109713.948598,174296
109713.956600,174821
109713.964586,175344
109713.972683,175875
109713.980506,176388
109713.988586,176917
109713.996676,177447
109714.005026,177994
109714.012606,178491
109714.023067,179177
109714.028542,179536
109714.037651,180133
109714.045318,180635
109714.052554,181109
109714.060544,181633
109714.068874,182179
109714.076521,182680
109714.084630,183211
109714.092530,183729
109714.100538,184254
109714.108578,184781
109714.116539,185302
109714.124534,185826
109714.132574,186353
109714.140540,186875
109714.148481,187396
109714.156500,187921
109714.164503,188446
109714.172552,188973
109714.180569,189499
109714.188509,190019
109714.196615,190550
109714.204506,191067
109714.212500,191591
109714.220864,192139
109714.228474,192638
109714.236466,193162
109714.244625,193697
109714.252668,194224
109714.260472,194735
109714.268527,195263
109714.276466,195783
109714.288626,196580
109714.297251,197145
109714.304571,197625
109714.312678,198156
109714.320560,198673
109714.328764,199211
109714.336628,199726
109714.344718,200256
109714.352612,200774
109714.360665,201301
109714.369314,201868
109714.376796,202358
109714.384930,202891
109714.393147,203430
109714.400539,203914
109714.408840,204458
109714.416515,204961
109714.424560,205489
109714.432659,206019
109714.440578,206538
109714.448561,207062
109714.456537,207584
109714.464514,208107
109714.472815,208651
109714.480557,209158
109714.489893,209770
109714.496618,210211
109714.504675,210739
109714.512545,211255
109714.520949,211805
109714.528517,212301
109714.537436,212886
109714.544714,213363
109714.552554,213877
109714.562286,214514
109714.568581,214927
109714.576897,215472
109714.584676,215982
109714.592489,216494
109714.600547,217022
109714.609534,217611
109714.616585,218073
109714.624497,218591
109714.632692,219129
109714.641390,219699
109714.648534,220167
109714.660531,220953
109714.666394,221337
109714.674988,221900
109714.681252,222311
109714.688741,222802
109714.696562,223314
109714.704624,223843
109714.717104,224660
109714.728621,225415
109714.741514,226260
109714.745002,226489
109714.757143,227284
109714.764492,227766
109714.772879,228316
109714.780489,228814
109714.792223,229583
109714.798039,229965
109714.804686,230400
109714.814705,231057
109714.820854,231460
109714.828875,231985
109714.837528,232552
109714.844991,233042
109714.853345,233589
109714.860554,234061
109714.868682,234594
109714.876698,235119
109714.884568,235635
109714.892584,236161
109714.900698,236692
109714.908596,237210
109714.916461,237725
109714.924962,238282
109714.932620,238784
109714.943021,239466
109714.951243,240005
109714.957375,240407
109714.965209,240920
109714.973021,241432
109714.980686,241934
109714.988795,242466
109714.996843,242993
109715.004753,243512
109715.012560,244023
109715.020730,244559
109715.028544,245071
109715.038002,245691
109715.044632,246125
109715.052893,246666
109715.060661,247175
109715.068515,247690
109715.076659,248224
109715.084580,248743
109715.092502,249262
109715.100554,249790
109715.109411,250370
109715.116448,250831
109715.124600,251366
109715.132464,251881
109715.140477,252406
109715.148502,252932
109715.156620,253464
109715.164468,253978
109715.172542,254508
109715.180560,255033
109715.189152,255596
109715.196937,256106
109715.205454,256665
109715.212536,257129
109715.224576,257918
109715.232533,258439
109715.240564,258965
109715.248545,259488
109715.256585,260015
109715.264580,260539
109715.273111,261098
109715.280795,261602
109715.290268,262223
109715.296673,262643
109715.304733,263171
109715.313165,263723
109715.320603,264211
109715.328644,264738
109715.339033,265419
109715.347159,265951
109715.355548,266501
109715.360555,266829
109715.368637,267359
109715.376838,267896
109715.384562,268402
109715.392488,268922
109715.400597,269453
109715.408564,269975
109715.416502,270496
109715.425098,271059
109715.433041,271579
109715.442381,272192
109715.448611,272600
109715.457012,273150
109715.464504,273641
109715.472583,274171
109715.480686,274702
109715.488537,275216
109715.496486,275737
109715.504582,276268
109715.512463,276784
109715.520998,277344
109715.528690,277848
109715.537070,278397
109715.544535,278886
109715.552876,279433
109715.560526,279934
109715.568519,280458
109715.576732,280996
109715.584550,281509
109715.592555,282033
109715.600641,282563
109715.608570,283083
109715.616559,283606
109715.624627,284135
