Column1;Realtime;Scenario's Timeline
1603369531.000000;;
1.000000;;
76.00;14:25:31;
74.50;14:25:32;
74.00;14:25:33;
74.25;14:25:34;
74.80;14:25:35;
75.33;14:25:36;
75.71;14:25:37;
76.12;14:25:38;
76.44;14:25:39;
76.70;14:25:40;
77.00;14:25:41;
77.25;14:25:42;
77.46;14:25:43;
77.71;14:25:44;
77.93;14:25:45;
78.12;14:25:46;
78.29;14:25:47;
78.44;14:25:48;
78.58;14:25:49;
78.75;14:25:50;
78.86;14:25:51;
78.95;14:25:52;
79.09;14:25:53;
79.17;14:25:54;
79.32;14:25:55;
79.42;14:25:56;
79.56;14:25:57;
79.68;14:25:58;
79.76;14:25:59;
79.83;14:26:00;
79.94;14:26:01;
80.00;14:26:02;
80.06;14:26:03;
80.12;14:26:04;
80.17;14:26:05;
80.22;14:26:06;
80.24;14:26:07;
80.26;14:26:08;
80.28;14:26:09;
80.30;14:26:10;
80.32;14:26:11;
80.31;14:26:12;
80.30;14:26:13;
80.30;14:26:14;
80.27;14:26:15;
80.24;14:26:16;
80.19;14:26:17;
80.12;14:26:18;
80.06;14:26:19;
80.00;14:26:20;
79.94;14:26:21;
79.88;14:26:22;
79.85;14:26:23;
79.83;14:26:24;
79.82;14:26:25;
79.82;14:26:26;
79.84;14:26:27;
79.86;14:26:28;
79.90;14:26:29;
79.95;14:26:30;
80.07;14:26:31;
80.25;14:26:32;
80.43;14:26:33;
80.60;14:26:34;
80.75;14:26:35;
80.90;14:26:36;
81.03;14:26:37;
81.13;14:26:38;
81.27;14:26:39;
81.40;14:26:40;
81.52;14:26:41;
81.63;14:26:42;
81.75;14:26:43;
81.85;14:26:44;
81.97;14:26:45;
82.08;14:26:46;
82.20;14:26:47;
82.32;14:26:48;
82.43;14:26:49;
82.52;14:26:50;
82.62;14:26:51;
82.52;14:26:52;
82.42;14:26:53;
82.38;14:26:54;
82.35;14:26:55;
82.40;14:26:56;
82.42;14:26:57;
82.43;14:26:58;
82.48;14:26:59;
82.53;14:27:00;
82.57;14:27:01;
82.62;14:27:02;
82.67;14:27:03;
82.73;14:27:04;
82.80;14:27:05;
82.87;14:27:06;
82.95;14:27:07;
83.03;14:27:08;
83.12;14:27:09;
83.20;14:27:10;
83.27;14:27:11;
83.35;14:27:12;00:00
83.43;14:27:13;00:01
83.50;14:27:14;00:02
83.58;14:27:15;00:03
83.67;14:27:16;00:04
83.75;14:27:17;00:05
83.87;14:27:18;00:06
83.98;14:27:19;00:07
84.10;14:27:20;00:08
84.22;14:27:21;00:09
84.33;14:27:22;00:10
84.43;14:27:23;00:11
84.53;14:27:24;00:12
84.62;14:27:25;00:13
84.67;14:27:26;00:14
84.68;14:27:27;00:15
84.67;14:27:28;00:16
84.63;14:27:29;00:17
84.57;14:27:30;00:18
84.50;14:27:31;00:19
84.42;14:27:32;00:20
84.33;14:27:33;00:21
84.25;14:27:34;00:22
84.15;14:27:35;00:23
84.03;14:27:36;00:24
83.93;14:27:37;00:25
83.85;14:27:38;00:26
83.73;14:27:39;00:27
83.62;14:27:40;00:28
83.50;14:27:41;00:29
83.38;14:27:42;00:30
83.27;14:27:43;00:31
83.15;14:27:44;00:32
83.02;14:27:45;00:33
82.88;14:27:46;00:34
82.75;14:27:47;00:35
82.62;14:27:48;00:36
82.50;14:27:49;00:37
82.40;14:27:50;00:38
82.30;14:27:51;00:39
82.40;14:27:52;00:40
82.48;14:27:53;00:41
82.52;14:27:54;00:42
82.52;14:27:55;00:43
82.45;14:27:56;00:44
82.40;14:27:57;00:45
82.35;14:27:58;00:46
82.28;14:27:59;00:47
82.20;14:28:00;00:48
82.13;14:28:01;00:49
82.07;14:28:02;00:50
81.98;14:28:03;00:51
81.88;14:28:04;00:52
81.80;14:28:05;00:53
81.72;14:28:06;00:54
81.63;14:28:07;00:55
81.55;14:28:08;00:56
81.47;14:28:09;00:57
81.38;14:28:10;00:58
81.32;14:28:11;00:59
81.25;14:28:12;01:00
81.18;14:28:13;01:01
81.13;14:28:14;01:02
81.08;14:28:15;01:03
81.03;14:28:16;01:04
81.00;14:28:17;01:05
80.95;14:28:18;01:06
80.90;14:28:19;01:07
80.85;14:28:20;01:08
80.78;14:28:21;01:09
80.72;14:28:22;01:10
80.65;14:28:23;01:11
80.55;14:28:24;01:12
80.47;14:28:25;01:13
80.40;14:28:26;01:14
80.33;14:28:27;01:15
80.30;14:28:28;01:16
80.27;14:28:29;01:17
80.27;14:28:30;01:18
80.27;14:28:31;01:19
80.27;14:28:32;01:20
80.27;14:28:33;01:21
80.25;14:28:34;01:22
80.25;14:28:35;01:23
80.25;14:28:36;01:24
80.23;14:28:37;01:25
80.22;14:28:38;01:26
80.20;14:28:39;01:27
80.17;14:28:40;01:28
80.13;14:28:41;01:29
80.10;14:28:42;01:30
80.05;14:28:43;01:31
80.00;14:28:44;01:32
79.95;14:28:45;01:33
79.90;14:28:46;01:34
79.87;14:28:47;01:35
79.83;14:28:48;01:36
79.78;14:28:49;01:37
79.73;14:28:50;01:38
79.68;14:28:51;01:39
79.63;14:28:52;01:40
79.57;14:28:53;01:41
79.50;14:28:54;01:42
79.43;14:28:55;01:43
79.37;14:28:56;01:44
79.30;14:28:57;01:45
79.23;14:28:58;01:46
79.18;14:28:59;01:47
79.15;14:29:00;01:48
79.10;14:29:01;01:49
79.05;14:29:02;01:50
79.02;14:29:03;01:51
78.98;14:29:04;01:52
78.93;14:29:05;01:53
78.88;14:29:06;01:54
78.85;14:29:07;01:55
78.82;14:29:08;01:56
78.78;14:29:09;01:57
78.75;14:29:10;01:58
78.72;14:29:11;01:59
78.70;14:29:12;02:00
78.68;14:29:13;02:01
78.68;14:29:14;02:02
78.68;14:29:15;02:03
78.68;14:29:16;02:04
78.68;14:29:17;02:05
78.68;14:29:18;02:06
78.67;14:29:19;02:07
78.65;14:29:20;02:08
78.65;14:29:21;02:09
78.65;14:29:22;02:10
78.65;14:29:23;02:11
78.67;14:29:24;02:12
78.68;14:29:25;02:13
78.68;14:29:26;02:14
78.70;14:29:27;02:15
78.72;14:29:28;02:16
78.73;14:29:29;02:17
78.73;14:29:30;02:18
78.73;14:29:31;02:19
78.73;14:29:32;02:20
78.75;14:29:33;02:21
78.77;14:29:34;02:22
78.77;14:29:35;02:23
78.78;14:29:36;02:24
78.82;14:29:37;02:25
78.85;14:29:38;02:26
78.87;14:29:39;02:27
78.90;14:29:40;02:28
78.92;14:29:41;02:29
78.93;14:29:42;02:30
78.95;14:29:43;02:31
78.98;14:29:44;02:32
79.02;14:29:45;02:33
79.07;14:29:46;02:34
79.08;14:29:47;02:35
79.12;14:29:48;02:36
79.15;14:29:49;02:37
79.18;14:29:50;02:38
79.22;14:29:51;02:39
79.23;14:29:52;02:40
79.27;14:29:53;02:41
79.28;14:29:54;02:42
79.30;14:29:55;02:43
79.32;14:29:56;02:44
79.33;14:29:57;02:45
79.35;14:29:58;02:46
79.37;14:29:59;02:47
79.38;14:30:00;02:48
79.40;14:30:01;02:49
79.42;14:30:02;02:50
79.43;14:30:03;02:51
79.45;14:30:04;02:52
79.47;14:30:05;02:53
79.48;14:30:06;02:54
79.48;14:30:07;02:55
79.48;14:30:08;02:56
79.48;14:30:09;02:57
79.48;14:30:10;02:58
79.48;14:30:11;02:59
79.48;14:30:12;03:00
79.48;14:30:13;03:01
79.47;14:30:14;03:02
79.45;14:30:15;03:03
79.42;14:30:16;03:04
79.38;14:30:17;03:05
79.33;14:30:18;03:06
79.30;14:30:19;03:07
79.27;14:30:20;03:08
79.23;14:30:21;03:09
79.20;14:30:22;03:10
79.17;14:30:23;03:11
79.13;14:30:24;03:12
79.10;14:30:25;03:13
79.08;14:30:26;03:14
79.05;14:30:27;03:15
79.02;14:30:28;03:16
79.00;14:30:29;03:17
78.98;14:30:30;03:18
78.95;14:30:31;03:19
78.92;14:30:32;03:20
78.87;14:30:33;03:21
78.82;14:30:34;03:22
78.77;14:30:35;03:23
78.72;14:30:36;03:24
78.67;14:30:37;03:25
78.62;14:30:38;03:26
78.58;14:30:39;03:27
78.57;14:30:40;03:28
78.57;14:30:41;03:29
78.57;14:30:42;03:30
78.58;14:30:43;03:31
78.58;14:30:44;03:32
78.60;14:30:45;03:33
78.60;14:30:46;03:34
78.62;14:30:47;03:35
78.63;14:30:48;03:36
78.65;14:30:49;03:37
78.68;14:30:50;
78.72;14:30:51;
78.77;14:30:52;
78.82;14:30:53;
78.90;14:30:54;
78.98;14:30:55;
79.05;14:30:56;
79.12;14:30:57;
79.18;14:30:58;
79.22;14:30:59;
79.25;14:31:00;
79.27;14:31:01;
79.27;14:31:02;
79.25;14:31:03;
79.23;14:31:04;
79.22;14:31:05;
79.20;14:31:06;
79.17;14:31:07;
79.13;14:31:08;
79.10;14:31:09;
79.07;14:31:10;
79.03;14:31:11;
78.98;14:31:12;
78.93;14:31:13;
78.88;14:31:14;
78.83;14:31:15;
78.80;14:31:16;
78.77;14:31:17;
78.75;14:31:18;
78.72;14:31:19;
78.68;14:31:20;
78.65;14:31:21;
78.62;14:31:22;
78.58;14:31:23;
78.55;14:31:24;
78.52;14:31:25;
78.48;14:31:26;
78.47;14:31:27;
