Time_stamp,X,Y,Z
1603462604.0,21,26,53
1603462604.03125,21,26,52
1603462604.0625,21,26,53
1603462604.09375,20,26,52
1603462604.125,21,26,52
1603462604.15625,21,26,52
1603462604.1875,21,26,52
1603462604.21875,20,26,53
1603462604.25,21,26,52
1603462604.28125,21,26,53
1603462604.3125,21,26,53
1603462604.34375,21,26,53
1603462604.375,21,26,53
1603462604.40625,21,26,53
1603462604.4375,21,26,53
1603462604.46875,21,26,52
1603462604.5,21,26,52
1603462604.53125,21,26,52
1603462604.5625,21,26,53
1603462604.59375,21,26,52
1603462604.625,21,26,53
1603462604.65625,21,26,52
1603462604.6875,21,26,52
1603462604.71875,21,26,52
1603462604.75,21,26,52
1603462604.78125,21,26,52
1603462604.8125,21,26,52
1603462604.84375,21,26,53
1603462604.875,21,26,53
1603462604.90625,21,26,52
1603462604.9375,21,26,53
1603462604.96875,21,26,52
1603462605.0,21,26,53
1603462605.03125,21,26,52
1603462605.0625,21,26,53
1603462605.09375,21,26,52
1603462605.125,21,26,53
1603462605.15625,21,26,52
1603462605.1875,21,26,53
1603462605.21875,21,26,53
1603462605.25,21,26,53
1603462605.28125,21,26,53
1603462605.3125,21,26,53
1603462605.34375,21,26,53
1603462605.375,21,26,53
1603462605.40625,21,26,53
1603462605.4375,21,26,53
1603462605.46875,20,26,53
1603462605.5,21,26,52
1603462605.53125,21,26,53
1603462605.5625,21,26,53
1603462605.59375,21,26,53
1603462605.625,21,26,53
1603462605.65625,21,26,53
1603462605.6875,21,26,52
1603462605.71875,21,26,52
1603462605.75,21,26,53
1603462605.78125,21,26,53
1603462605.8125,21,26,52
1603462605.84375,21,26,53
1603462605.875,21,26,53
1603462605.90625,21,26,53
1603462605.9375,21,26,53
1603462605.96875,21,26,53
1603462606.0,21,26,52
1603462606.03125,21,26,52
1603462606.0625,21,26,53
1603462606.09375,21,26,52
1603462606.125,21,26,52
1603462606.15625,21,26,52
1603462606.1875,21,26,53
1603462606.21875,21,26,52
1603462606.25,21,26,53
1603462606.28125,21,26,52
1603462606.3125,21,26,53
1603462606.34375,21,26,52
1603462606.375,21,26,52
1603462606.40625,21,26,53
1603462606.4375,21,26,53
1603462606.46875,21,26,53
1603462606.5,21,26,52
1603462606.53125,21,26,53
1603462606.5625,21,26,53
1603462606.59375,21,26,53
1603462606.625,21,26,53
1603462606.65625,20,26,53
1603462606.6875,21,26,52
1603462606.71875,21,26,53
1603462606.75,21,26,53
1603462606.78125,21,26,53
1603462606.8125,21,26,52
1603462606.84375,21,26,53
1603462606.875,21,26,52
1603462606.90625,21,26,53
1603462606.9375,21,26,53
1603462606.96875,21,26,52
1603462607.0,21,26,53
1603462607.03125,21,26,52
1603462607.0625,21,26,53
1603462607.09375,21,26,52
1603462607.125,21,26,53
1603462607.15625,21,26,53
1603462607.1875,21,26,53
1603462607.21875,21,26,53
1603462607.25,21,26,52
1603462607.28125,21,26,52
1603462607.3125,21,26,53
1603462607.34375,21,26,53
1603462607.375,21,26,53
1603462607.40625,21,26,52
1603462607.4375,20,26,53
1603462607.46875,21,26,53
1603462607.5,20,26,53
1603462607.53125,21,26,53
1603462607.5625,21,26,53
1603462607.59375,21,26,53
1603462607.625,21,26,52
1603462607.65625,20,26,53
1603462607.6875,21,26,53
1603462607.71875,21,26,52
1603462607.75,21,26,53
1603462607.78125,21,26,52
1603462607.8125,21,26,53
1603462607.84375,21,26,53
1603462607.875,21,26,52
1603462607.90625,21,26,53
1603462607.9375,21,26,52
1603462607.96875,21,26,52
1603462608.0,21,26,53
1603462608.03125,21,26,52
1603462608.0625,21,26,53
1603462608.09375,21,26,53
1603462608.125,21,26,53
1603462608.15625,21,26,53
1603462608.1875,21,26,53
1603462608.21875,21,26,53
1603462608.25,21,26,53
1603462608.28125,21,26,53
1603462608.3125,21,26,53
1603462608.34375,21,26,52
1603462608.375,21,26,53
1603462608.40625,21,26,53
1603462608.4375,21,26,52
1603462608.46875,21,26,53
1603462608.5,21,26,52
1603462608.53125,21,26,53
1603462608.5625,21,26,52
1603462608.59375,21,26,52
1603462608.625,21,26,52
1603462608.65625,21,26,52
1603462608.6875,21,26,52
1603462608.71875,21,26,52
1603462608.75,21,26,53
1603462608.78125,21,26,53
1603462608.8125,21,26,53
1603462608.84375,21,26,52
1603462608.875,21,26,53
1603462608.90625,21,26,52
1603462608.9375,21,26,53
1603462608.96875,21,26,53
1603462609.0,21,26,52
1603462609.03125,21,26,53
1603462609.0625,21,26,52
1603462609.09375,21,26,53
1603462609.125,21,26,52
1603462609.15625,21,26,53
1603462609.1875,21,26,53
1603462609.21875,21,26,52
1603462609.25,21,26,53
1603462609.28125,21,26,52
1603462609.3125,21,26,52
1603462609.34375,21,26,52
1603462609.375,21,26,53
1603462609.40625,21,26,52
1603462609.4375,21,26,53
1603462609.46875,21,26,53
1603462609.5,21,26,53
1603462609.53125,21,26,52
1603462609.5625,21,26,52
1603462609.59375,21,26,53
1603462609.625,21,26,53
1603462609.65625,21,26,52
1603462609.6875,21,26,52
1603462609.71875,21,26,53
1603462609.75,21,26,52
1603462609.78125,21,26,52
1603462609.8125,21,26,52
1603462609.84375,21,26,52
1603462609.875,21,26,52
1603462609.90625,21,26,53
1603462609.9375,21,26,52
1603462609.96875,21,26,52
1603462610.0,21,26,53
1603462610.03125,21,26,53
1603462610.0625,21,26,52
1603462610.09375,21,26,53
1603462610.125,21,26,53
1603462610.15625,21,26,53
1603462610.1875,21,26,53
1603462610.21875,21,26,52
1603462610.25,21,26,52
1603462610.28125,21,26,53
1603462610.3125,21,26,52
1603462610.34375,21,26,53
1603462610.375,21,26,53
1603462610.40625,21,26,52
1603462610.4375,21,26,53
1603462610.46875,20,26,53
1603462610.5,21,26,53
1603462610.53125,21,26,52
1603462610.5625,21,26,53
1603462610.59375,21,26,53
1603462610.625,21,26,53
1603462610.65625,21,25,53
1603462610.6875,21,26,52
1603462610.71875,21,26,53
1603462610.75,21,26,53
1603462610.78125,21,26,52
1603462610.8125,21,26,53
1603462610.84375,21,26,53
1603462610.875,21,26,52
1603462610.90625,21,26,52
1603462610.9375,21,26,53
1603462610.96875,21,26,53
1603462611.0,21,26,53
1603462611.03125,21,26,53
1603462611.0625,21,26,52
1603462611.09375,21,26,52
1603462611.125,21,26,53
1603462611.15625,21,26,52
1603462611.1875,21,26,52
1603462611.21875,21,26,53
1603462611.25,21,26,53
1603462611.28125,21,26,53
1603462611.3125,21,26,53
1603462611.34375,20,26,53
1603462611.375,21,26,52
1603462611.40625,21,26,53
1603462611.4375,21,26,53
1603462611.46875,20,26,53
1603462611.5,21,26,52
1603462611.53125,21,26,52
1603462611.5625,21,26,53
