Time_stamp,Value
1603462604.0,5.51
1603462604.015625,4.98
1603462604.03125,4.81
1603462604.046875,5.29
1603462604.0625,6.57
1603462604.078125,8.58
1603462604.09375,11.16
1603462604.109375,14.1
1603462604.125,17.22
1603462604.140625,20.35
1603462604.15625,23.33
1603462604.171875,25.91
1603462604.1875,27.75
1603462604.203125,28.51
1603462604.21875,27.89
1603462604.234375,25.85
1603462604.25,22.6
1603462604.265625,18.55
1603462604.28125,14.25
1603462604.296875,10.18
1603462604.3125,6.7
1603462604.328125,4.03
1603462604.34375,2.17
1603462604.359375,0.96
1603462604.375,0.05
1603462604.390625,-0.93
1603462604.40625,-2.35
1603462604.421875,-4.37
1603462604.4375,-6.94
1603462604.453125,-9.83
1603462604.46875,-12.72
1603462604.484375,-15.4
1603462604.5,-17.85
1603462604.515625,-20.21
1603462604.53125,-22.79
1603462604.546875,-25.86
1603462604.5625,-29.64
1603462604.578125,-34.1
1603462604.59375,-38.97
1603462604.609375,-43.67
1603462604.625,-47.37
1603462604.640625,-49.13
1603462604.65625,-48.17
1603462604.671875,-44.04
1603462604.6875,-36.85
1603462604.703125,-27.18
1603462604.71875,-16.0
1603462604.734375,-4.43
1603462604.75,6.51
1603462604.765625,16.01
1603462604.78125,23.54
1603462604.796875,28.85
1603462604.8125,31.95
1603462604.828125,33.0
1603462604.84375,32.36
1603462604.859375,30.44
1603462604.875,27.73
1603462604.890625,24.73
1603462604.90625,21.86
1603462604.921875,19.49
1603462604.9375,17.84
1603462604.953125,17.05
1603462604.96875,17.12
1603462604.984375,17.99
1603462605.0,19.54
1603462605.015625,21.55
1603462605.03125,23.73
1603462605.046875,25.69
1603462605.0625,26.97
1603462605.078125,27.2
1603462605.09375,26.19
1603462605.109375,24.01
1603462605.125,21.01
1603462605.140625,17.67
1603462605.15625,14.46
1603462605.171875,11.62
1603462605.1875,9.13
1603462605.203125,6.77
1603462605.21875,4.24
1603462605.234375,1.35
1603462605.25,-1.86
1603462605.265625,-5.18
1603462605.28125,-8.37
1603462605.296875,-11.25
1603462605.3125,-13.86
1603462605.328125,-16.37
1603462605.34375,-19.02
1603462605.359375,-22.05
1603462605.375,-25.62
1603462605.390625,-29.77
1603462605.40625,-34.35
1603462605.421875,-38.93
1603462605.4375,-42.83
1603462605.453125,-45.12
1603462605.46875,-44.85
1603462605.484375,-41.36
1603462605.5,-34.52
1603462605.515625,-24.89
1603462605.53125,-13.6
1603462605.546875,-2.01
1603462605.5625,8.63
1603462605.578125,17.49
1603462605.59375,24.27
1603462605.609375,29.01
1603462605.625,31.92
1603462605.640625,33.16
1603462605.65625,32.79
1603462605.671875,30.83
1603462605.6875,27.5
1603462605.703125,23.28
1603462605.71875,18.91
1603462605.734375,15.19
1603462605.75,12.71
1603462605.765625,11.67
1603462605.78125,11.88
1603462605.796875,12.92
1603462605.8125,14.34
1603462605.828125,15.79
1603462605.84375,17.07
1603462605.859375,18.07
1603462605.875,18.65
1603462605.890625,18.62
1603462605.90625,17.8
1603462605.921875,16.09
1603462605.9375,13.53
1603462605.953125,10.34
1603462605.96875,6.82
1603462605.984375,3.25
1603462606.0,-0.13
1603462606.015625,-3.25
1603462606.03125,-6.16
1603462606.046875,-8.99
1603462606.0625,-11.84
1603462606.078125,-14.74
1603462606.09375,-17.63
1603462606.109375,-20.41
1603462606.125,-23.1
1603462606.140625,-25.84
1603462606.15625,-28.87
1603462606.171875,-32.39
1603462606.1875,-36.32
1603462606.203125,-40.17
1603462606.21875,-43.1
1603462606.234375,-44.09
1603462606.25,-42.33
1603462606.265625,-37.5
1603462606.28125,-29.86
1603462606.296875,-20.24
1603462606.3125,-9.69
1603462606.328125,0.73
1603462606.34375,10.23
1603462606.359375,18.28
1603462606.375,24.55
1603462606.390625,28.88
1603462606.40625,31.18
1603462606.421875,31.5
1603462606.4375,30.06
1603462606.453125,27.26
1603462606.46875,23.66
1603462606.484375,19.85
1603462606.5,16.37
1603462606.515625,13.64
1603462606.53125,11.92
1603462606.546875,11.33
1603462606.5625,11.83
1603462606.578125,13.19
1603462606.59375,15.07
1603462606.609375,17.06
1603462606.625,18.77
1603462606.640625,19.93
1603462606.65625,20.38
1603462606.671875,20.06
1603462606.6875,18.97
1603462606.703125,17.17
1603462606.71875,14.81
1603462606.734375,12.08
1603462606.75,9.18
1603462606.765625,6.3
1603462606.78125,3.48
1603462606.796875,0.7
1603462606.8125,-2.14
1603462606.828125,-5.06
1603462606.84375,-7.98
1603462606.859375,-10.76
1603462606.875,-13.25
1603462606.890625,-15.45
1603462606.90625,-17.5
1603462606.921875,-19.73
1603462606.9375,-22.49
1603462606.953125,-26.09
1603462606.96875,-30.63
1603462606.984375,-35.93
1603462607.0,-41.47
1603462607.015625,-46.45
1603462607.03125,-49.91
1603462607.046875,-51.0
1603462607.0625,-49.15
1603462607.078125,-44.28
1603462607.09375,-36.77
1603462607.109375,-27.42
1603462607.125,-17.22
1603462607.140625,-7.18
1603462607.15625,1.89
1603462607.171875,9.43
1603462607.1875,15.18
1603462607.203125,19.01
1603462607.21875,20.94
1603462607.234375,21.04
1603462607.25,19.5
1603462607.265625,16.72
1603462607.28125,13.3
1603462607.296875,9.95
1603462607.3125,7.38
