Time_stamp,Av_heart_rate
1603462689.0,62.5
1603462690.0,62.4
1603462691.0,62.28
1603462692.0,62.17
1603462693.0,62.05
1603462694.0,61.92
1603462695.0,61.77
1603462696.0,61.63
1603462697.0,61.52
1603462698.0,61.43
1603462699.0,61.37
1603462700.0,61.32
1603462701.0,61.27
1603462702.0,61.23
1603462703.0,61.22
1603462704.0,61.2
1603462705.0,61.17
1603462706.0,61.12
1603462707.0,61.03
1603462708.0,60.93
1603462709.0,60.82
1603462710.0,60.68
1603462711.0,60.55
1603462732.0,60.88
1603462733.0,60.93
1603462734.0,60.97
1603462735.0,61.0
1603462736.0,61.02
1603462737.0,61.02
1603462738.0,61.02
1603462739.0,61.0
1603462740.0,60.98
1603462741.0,60.97
1603462742.0,60.95
1603462743.0,60.93
1603462744.0,60.92
1603462745.0,60.9
1603462746.0,60.9
1603462747.0,60.9
1603462748.0,60.92
1603462749.0,60.95
1603462750.0,60.98
1603462751.0,61.03
1603462752.0,61.1
1603462753.0,61.17
1603462754.0,61.25
1603462755.0,61.33
1603462756.0,61.4
1603462757.0,61.48
1603462758.0,61.55
1603462759.0,61.6
1603462811.0,64.1
1603462812.0,64.2
1603462813.0,64.28
1603462814.0,64.37
1603462815.0,64.45
1603462816.0,64.53
1603462817.0,64.6
1603462818.0,64.67
1603462819.0,64.75
1603462820.0,64.82
1603462821.0,64.88
1603462822.0,64.93
1603462823.0,64.98
1603462824.0,65.03
1603462825.0,65.08
1603462826.0,65.12
1603462827.0,65.15
1603462828.0,65.18
1603462829.0,65.22
1603462830.0,65.23
1603462831.0,65.23
1603462832.0,65.23
1603462833.0,65.23
1603462834.0,65.23
1603462835.0,65.25
1603462836.0,65.25
1603462837.0,65.25
1603462838.0,65.23
1603462839.0,65.22
1603462840.0,65.22
1603462841.0,65.22
1603462842.0,65.23
